Date,BOND
2013-02-28,0.00343847
2013-03-31,0.00616795
2013-04-30,0.02614485
2013-05-31,-0.01322447
2013-06-30,-0.01552313
2013-07-31,0.00867239
2013-08-31,-0.00578396
2013-09-30,0.00812371
2013-10-31,0.01320506
2013-11-30,0.00302733
2013-12-31,-0.00751996
2014-01-31,0.02376167
2014-02-28,0.00599135
2014-03-31,0.00910869
2014-04-30,0.00977038
2014-05-31,0.00884080
2014-06-30,0.01124641
2014-07-31,0.00933988
2014-08-31,0.01764852
2014-09-30,0.00173422
2014-10-31,0.00341566
2014-11-30,0.01249712
2014-12-31,0.01004003
2015-01-31,0.02361957
2015-02-28,0.00663722
2015-03-31,0.01194795
2015-04-30,-0.01425570
2015-05-31,-0.01530475
2015-06-30,-0.02495837
2015-07-31,0.02236294
2015-08-31,-0.01111767
2015-09-30,0.01297928
2015-10-31,0.01046699
2015-11-30,0.00392912
2015-12-31,-0.01058486
2016-01-31,0.01982291
2016-02-29,0.00943230
2016-03-31,0.00515236
2016-04-30,-0.01129449
2016-05-31,0.00931457
2016-06-30,0.02359393
2016-07-31,0.00722972
2016-08-31,-0.00358888
2016-09-30,0.00245774
2016-10-31,-0.02160037
2016-11-30,-0.01512140
2016-12-31,0.00715033
2017-01-31,-0.02142950
2017-02-28,0.01103839
2017-03-31,-0.00559097
2017-04-30,0.00433857
2017-05-31,0.00586265
2017-06-30,-0.00517116
2017-07-31,0.00176208
2017-08-31,0.00875067
2017-09-30,-0.00536179
2017-10-31,0.00964192
2017-11-30,0.00447106
2017-12-31,-0.00881587
2018-01-31,-0.00427274
2018-02-28,0.00363430
2018-03-31,0.01470265
2018-04-30,-0.00378367
2018-05-31,-0.01316359
2018-06-30,0.00778482
2018-07-31,-0.00425290
2018-08-31,-0.00461973
2018-09-30,-0.00271463
2018-10-31,0.00035124
2018-11-30,0.00579325
2018-12-31,0.01003623
2019-01-31,0.01101656
2019-02-28,-0.00611062
2019-03-31,0.01865943
2019-04-30,0.00021105
2019-05-31,0.01004306
2019-06-30,0.02297794
2019-07-31,0.01719353
2019-08-31,0.02473196
2019-09-30,-0.00470163
2019-10-31,-0.01102233
2019-11-30,-0.00935394
2019-12-31,-0.00831729
2020-01-31,0.02273004
2020-02-29,0.00427859
2020-03-31,-0.02236686
2020-04-30,-0.00088771
2020-05-31,0.00500790
2020-06-30,0.00952379
2020-07-31,0.01082717
2020-08-31,-0.00850596
2020-09-30,0.01326553
2020-10-31,0.00976007
2020-11-30,0.00120348
2020-12-31,0.00131822
2021-01-31,-0.00542099
2021-02-28,-0.02028339
2021-03-31,0.00186768
2021-04-30,-0.01003490
2021-05-31,-0.00060096
2021-06-30,0.00412924
2021-07-31,0.01840540
2021-08-31,-0.00611572
2021-09-30,-0.01210953
2021-10-31,-0.00551004
2021-11-30,0.01597943
2021-12-31,-0.01347561
2022-01-31,-0.01325908
2022-02-28,-0.01843060
2022-03-31,-0.02502166
2022-04-30,-0.03881399
2022-05-31,-0.01747646
2022-06-30,-0.01913493
2022-07-31,0.04153504
2022-08-31,-0.05249737
2022-09-30,-0.03716935
2022-10-31,0.00057832
2022-11-30,0.02355378
2022-12-31,-0.04159998
2023-01-31,0.02111364
2023-02-28,-0.02490867
2023-03-31,0.02490385
2023-04-30,-0.00086613
2023-05-31,0.00341925
2023-06-30,-0.00196777
2023-07-31,-0.00298146
2023-08-31,0.00294217
2023-09-30,-0.02683467
2023-10-31,0.00444749
2023-11-30,0.03128998
2023-12-31,0.03725788
2024-01-31,-0.00671477
2024-02-29,-0.01083482
2024-03-31,0.01029816
2024-04-30,-0.01496546
2024-05-31,-0.00183443
2024-06-30,0.00334570
2024-07-31,0.02193311
2024-08-31,0.00335498
2024-09-30,0.01378708
2024-10-31,-0.01111466
2024-11-30,0.02426097
2024-12-31,-0.01512177
2025-01-31,-0.00167578
2025-02-28,0.00499050
2025-03-31,-0.01570969
2025-04-30,0.02022566
2025-05-31,0.00121378
2025-06-30,-0.00318789
2025-07-31,-0.00189180
2025-08-31,-0.00491898
2025-09-30,0.00553289
2025-10-31,0.00924591
