Date,ABDN.L,ABN.AS,ACA.PA,AGN.AS,AJB.L,ALLFG.AS,ALV.DE,ASHM.L,AT1.DE,AV.L,AZM.MI,BALD-B.ST,BAMI.MI,BARC.L,BBOX.L,BBVA.MC,BEZ.L,BLND.L,BMED.MI,BNP.PA,BPE.MI,BPT.L,CABK.MC,CAST.ST,CBG.L,CBK.DE,CHRY.L,COL.MC,CORE-B.ST,CREI.L,CS.PA,CSN.L,DBK.DE,EMG.L,EQT.ST,ESP.L,FABG.ST,FBK.MI,FCH.L,FOXT.L,G.MI,GLE.PA,GPE.L,GRI.L,GROW.L,HSBA.L,HSX.L,ICG.L,III.L,INGA.AS,INTRUM.ST,INVE-B.ST,INVP.L,IPO.L,ISP.MI,IWG.L,JUP.L,KINV-B.ST,LAND.L,LGEN.L,LI.PA,LLOY.L,LMP.L,LOGI-B.ST,LSEG.L,MAP.MC,MRL.MC,N91.L,NDA-FI.HE,NDA-SE.ST,NN.AS,NRR.L,NWG.L,OSB.L,PCTN.L,PHNX.L,PHP.L,PRSR.L,PRU.L,QLT.L,SAB.MC,SAN.MC,SDR.L,SEB-A.ST,SGRO.L,SHB-A.ST,SHC.L,SOHO.L,SRE.L,SREI.L,SREN.SW,SSIT.L,STJ.L,STOR-B.ST,SUPR.L,SWED-A.ST,TCAP.L,THRL.L,UBSG.SW,UCG.MI,UNI.MC,UTG.L,VEFAB.ST,VNA.DE,WALL-B.ST,YCA.L
2013-01-31,0.00816828,0.00000000,0.14645665,-0.00162078,0.00000000,0.00000000,-0.02723918,-0.03772573,0.00000000,-0.03980109,0.15535723,0.12467537,0.17444517,0.09216251,0.00000000,0.01844140,0.02399578,-0.01993965,0.16111111,0.03936119,0.16906468,0.00000000,0.07071843,0.00213687,0.12585409,0.08322146,0.00000000,-0.05875594,0.00000000,0.00000000,-0.01230983,0.11340254,0.11855971,0.04922913,0.00000000,0.00000000,0.04589925,0.00000000,0.00000000,0.00000000,-0.02013888,0.11474045,-0.01954896,0.06843458,0.00000000,0.07661057,0.03470870,0.06827809,0.17762908,0.02293275,0.06459946,0.05000018,0.07769467,0.02819239,0.09236363,0.05630003,0.12052322,0.05543537,-0.02548517,0.02557205,-0.04566357,0.03964592,0.00913211,0.00000000,0.08176126,-0.09123681,0.00000000,0.00000000,0.09395974,0.09609359,0.00000000,-0.00246315,0.02722920,0.00000000,0.00694429,0.19903872,0.01724112,0.00000000,0.06267333,0.00000000,-0.02084375,-0.00075698,0.10005699,0.12334809,-0.01507972,0.09565969,-0.03354610,0.00000000,0.00000000,-0.03821615,0.00073894,0.00000000,0.08887852,0.00000000,0.00000000,0.15562410,-0.06249953,0.00000000,0.06262610,0.23532483,0.00000000,-0.01792448,0.00000000,0.00000000,-0.00126053,0.00000000
2013-02-28,0.01996504,0.00000000,-0.01098895,-0.07021135,0.00000000,0.00000000,-0.00616985,0.00336044,0.00000000,-0.02699762,-0.05796000,0.10161667,-0.15830605,0.02004372,0.00000000,0.01447110,0.10589768,0.00978602,-0.07525014,-0.06719347,-0.15384644,0.00000000,0.08083934,0.03624713,0.05614562,-0.12453529,0.00000000,-0.36719696,0.00000000,0.00000000,-0.02456003,0.07407381,-0.08165390,0.13397384,0.00000000,0.00000000,0.02877704,0.00000000,0.00000000,0.00000000,-0.11977333,-0.11615307,0.01192217,0.09207423,0.00000000,0.02051051,0.10126580,0.10548653,0.21732451,-0.17331169,0.12621365,0.04927979,0.03788732,0.07177411,-0.17243667,0.12859565,0.03288248,0.00613940,0.03300093,0.05052519,0.08347656,0.05439395,-0.01719435,0.00000000,0.10797312,0.09775452,0.00000000,0.00000000,0.08834354,0.06699933,0.00000000,-0.02469125,-0.05651034,0.00000000,0.10366028,0.00859345,-0.01059312,0.00000000,0.02453038,0.00000000,-0.15509390,-0.05955690,0.02945712,0.05647063,0.03102350,0.08115357,0.09545433,0.00000000,0.00000000,0.05322377,0.10627264,0.00000000,0.05160859,0.00000000,0.00000000,0.03666665,0.16583310,0.00000000,-0.06020280,-0.18166532,0.00000000,0.01825163,0.00000000,0.00000000,0.07886468,0.00000000
2013-03-31,0.03631213,0.00000000,-0.10750015,0.02378919,0.00000000,0.00000000,0.01193885,-0.02304913,0.00000000,-0.16961180,0.03527496,-0.03773581,-0.23877714,-0.05162883,0.00000000,-0.08989366,0.02909264,-0.04217573,0.00799602,-0.07110519,0.00181847,0.00000000,-0.14280808,-0.00499855,0.00780048,-0.18966741,0.00000000,-0.15860756,0.00000000,0.00000000,0.00789156,0.01293119,-0.13322899,-0.11116656,0.00000000,0.00000000,-0.02638366,0.00000000,0.00000000,0.00000000,-0.02254411,-0.12852788,0.00731269,-0.00439875,0.00000000,-0.03935793,0.05386502,0.08237349,-0.01373271,-0.10084425,0.08620693,-0.00686005,-0.04255320,0.12340113,-0.08125505,0.18965528,-0.02510924,0.07050832,-0.00051284,0.07870047,-0.02637031,-0.10611342,-0.02394106,0.00000000,-0.02098929,-0.03289232,0.00000000,0.00000000,0.02231673,-0.00970324,0.00000000,0.01772158,-0.14942845,0.00000000,0.00000000,0.03485684,-0.05470253,0.00000000,0.08532198,0.00000000,-0.12985585,-0.09791768,0.05838183,0.01209700,-0.00588005,0.03057263,0.02715955,0.00000000,0.04761900,0.06918255,0.03002026,0.00000000,0.04312126,0.00000000,0.00000000,0.01599792,-0.07362391,0.01219515,-0.01888063,-0.14439876,0.00000000,0.10651567,0.00000000,0.00000000,-0.00818742,0.00000000
2013-04-30,0.02498920,0.00000000,0.08169920,0.06821561,0.00000000,0.00000000,0.05757433,0.14057180,0.00000000,0.03004730,0.11885901,0.01960786,0.11337090,-0.01751638,0.00000000,0.11001416,0.07570676,0.09383680,0.19342043,0.05669344,0.16696913,0.00000000,0.06477289,0.04525884,-0.01235734,-0.10786015,0.00000000,0.09425285,0.00000000,0.00000000,0.06002999,0.01854358,0.14778896,0.14725911,0.00000000,0.00000000,0.05105131,0.00000000,0.00000000,0.00000000,0.14744632,0.07608284,0.07279686,0.00147254,0.00000000,0.00142350,-0.09220003,-0.00165393,0.03987345,0.12551903,0.09905826,0.05323708,-0.00871481,0.03817815,0.20577932,0.03213626,0.00885198,0.07219774,0.05367871,-0.01820844,0.10200668,0.11583488,0.08018890,0.00000000,0.02679918,0.15512242,0.00000000,0.00000000,0.03319975,0.05216825,0.00000000,0.03980107,0.11179654,0.00000000,0.10000022,-0.04977977,0.00604244,0.00000000,0.03755869,0.00000000,0.11058726,0.07666302,0.10768529,0.01604268,0.04758126,0.05709165,0.13110548,0.00000000,-0.01948057,-0.05294116,0.05706291,0.00000000,0.09069230,0.00000000,0.00000000,0.07624872,-0.05629511,0.00481938,0.14089343,0.18918907,0.00000000,0.08359188,0.00000000,0.00000000,0.06708751,0.00000000
2013-05-31,0.04970589,0.00000000,0.04977727,0.07329374,0.00000000,0.00000000,0.11010686,-0.00250505,0.00000000,0.09406732,0.07515217,0.12713664,0.05205460,0.12029749,0.00000000,-0.01668955,0.05211581,0.02438994,0.02433067,0.10680617,0.01399685,0.00000000,-0.01102843,0.02989715,-0.04523586,-0.20900640,0.00000000,0.17226906,0.00000000,0.00000000,0.15494300,0.07105548,0.05539561,0.13013696,0.00000000,0.00000000,0.05214283,0.00000000,0.00000000,0.00000000,0.05161774,0.13494699,0.04144943,0.13602915,0.00000000,0.03192970,-0.01158637,0.10795454,0.03712712,0.16046225,0.04681656,0.00523563,0.02241796,-0.10903230,0.09667485,0.02455749,-0.01361556,0.11812117,0.06868963,0.05604741,0.03105588,0.14319885,0.00087312,0.00000000,0.04847146,0.00143654,0.00000000,0.00000000,0.05983394,0.05859629,0.00000000,0.02392326,0.09892270,0.00000000,0.05698964,0.01970063,-0.03303327,0.00000000,0.01085963,0.00000000,-0.07853144,0.00892372,0.01413278,0.04661670,0.04879924,-0.02683447,0.06269244,0.00000000,0.27152307,0.06855630,-0.04462448,0.00000000,0.06046930,0.00000000,0.00000000,-0.00188121,0.20286295,0.01438834,0.05592068,0.13320452,0.00000000,0.03852774,0.00000000,0.00000000,0.01457437,0.00000000
2013-06-30,-0.11990842,0.00000000,-0.09510772,-0.02300396,0.00000000,0.00000000,-0.06263035,-0.13686605,0.00000000,0.01737587,-0.04505124,-0.08056869,-0.21484385,-0.13106587,0.00000000,-0.11066641,-0.02624880,-0.06978623,-0.07841246,-0.07391055,-0.31472384,0.00000000,-0.15071921,-0.08908932,-0.01058479,-0.17103966,0.00000000,0.01433681,0.00000000,0.00000000,-0.03422892,-0.02439052,-0.10866238,-0.27965347,0.00000000,0.00000000,-0.10454874,0.00000000,0.00000000,0.00000000,-0.07128033,-0.14452378,-0.04061376,-0.06404216,0.00000000,-0.06047671,0.02705138,-0.07043045,-0.00923006,-0.03207960,-0.01610033,-0.06093761,-0.11070568,-0.03910201,-0.15627142,-0.06257457,-0.11134983,-0.02826441,-0.05294694,-0.04245822,-0.08795161,0.01690554,-0.09483447,0.00000000,-0.04907572,-0.07796504,0.00000000,0.00000000,-0.10454808,-0.08759132,0.00000000,0.00279037,-0.18746296,0.00000000,-0.01075244,-0.01700174,0.01863370,0.00000000,-0.03760074,0.00000000,-0.12371156,-0.11516223,-0.07812503,-0.07902298,-0.00071645,-0.06038378,-0.00091634,0.00000000,0.04166660,-0.01162749,-0.00495394,0.00000000,-0.08085102,0.00000000,0.00000000,-0.03391949,0.08466546,0.00472823,-0.05467392,-0.18115626,0.00000000,0.00249184,0.00000000,0.00000000,-0.02928206,0.00000000
2013-07-31,0.09719406,0.00000000,0.08708200,0.12765175,0.00000000,0.00000000,0.04409786,0.07855702,0.00000000,0.09393405,0.20800558,0.07731959,0.05804319,0.03393795,0.00000000,0.12144985,-0.04117864,0.05484162,0.19747873,0.15866551,0.00492362,0.00000000,0.19570090,0.02197809,0.06469705,-0.04031045,0.00000000,0.04063614,0.00000000,0.00000000,0.09804564,0.03299988,0.05442365,-0.03485606,0.00000000,0.00000000,0.11372275,0.00000000,0.00000000,0.00000000,0.10357683,0.14450767,0.04609590,0.20332007,0.00000000,0.09648062,0.14135191,0.11818794,0.13566343,0.09714259,0.20727287,0.08818633,0.06220727,0.09344391,0.15840774,0.17736802,0.12046967,0.14485160,0.07352974,0.12543773,0.07628781,0.08407237,0.09450356,0.00000000,0.17741282,0.09912081,0.00000000,0.00000000,0.11091660,0.10066668,0.00000000,0.13053595,0.16124309,0.00000000,0.07065194,0.15172969,0.03353655,0.00000000,0.08558165,0.00000000,0.20627527,0.15520949,0.12459910,0.12246483,0.11318102,0.09955395,0.10366940,0.00000000,-0.09999995,0.05294105,0.04836423,0.00000000,0.14444443,0.00000000,0.00000000,0.02210697,0.04357362,0.00000000,0.13370661,0.13729879,0.00000000,0.07787869,0.00000000,0.03418825,0.02845772,0.00000000
2013-08-31,-0.12681257,0.00000000,0.06505968,-0.05119000,0.00000000,0.00000000,-0.07508524,-0.09981117,0.00000000,0.04118458,-0.03846145,-0.01913879,0.12434692,-0.01576918,0.00000000,0.01433011,-0.09750568,-0.06610889,-0.07368386,-0.02508451,0.19821816,0.00000000,0.01370815,-0.02419350,-0.00765520,0.36838831,0.00000000,-0.01867562,0.00000000,0.00000000,-0.00542990,0.01548890,-0.03377064,0.01452191,0.00000000,0.00000000,-0.06058541,0.00000000,0.00000000,0.00000000,-0.02093188,0.09597887,-0.04046756,-0.01092020,0.00000000,-0.09593505,-0.00758595,-0.10014395,-0.06494506,0.06966145,-0.02710853,-0.02650346,-0.06442060,-0.08821521,0.04137473,-0.04481643,0.02628508,0.05182938,-0.06954734,-0.03150282,-0.07916548,0.05958798,-0.04933959,0.00000000,-0.00889479,-0.07309141,0.00000000,0.00000000,-0.06988954,-0.06541474,0.00000000,-0.03092785,0.05069263,0.00000000,0.02552700,0.02184267,0.00000000,0.00000000,-0.07616964,0.00000000,0.13393946,-0.02803106,-0.05777899,-0.05420423,-0.06048900,-0.03918881,-0.11968679,0.00000000,-0.01111111,0.01689798,-0.03120770,0.00000000,-0.03954287,0.00000000,0.00000000,-0.04580185,0.02643424,-0.00687239,-0.01151949,0.04545442,0.00000000,-0.08250050,0.00000000,0.03305775,-0.05146673,0.00000000
2013-09-30,0.04303144,0.00000000,0.06618704,0.01371403,0.00000000,0.00000000,0.07195565,0.16961349,0.00000000,0.02585276,0.03938469,0.02439032,0.02230487,0.01435320,0.00000000,0.15775459,0.05376886,0.03494666,0.01704533,0.05451854,-0.01394019,0.00000000,0.15444877,0.00991705,0.12728967,-0.03251476,0.00000000,0.03806227,0.00000000,0.00000000,0.03882314,0.02597117,0.03601943,0.03007985,0.00000000,0.00000000,0.02898539,0.00000000,0.00000000,0.01123607,0.01724147,0.11218465,0.01030939,0.01568878,0.00000000,-0.00976324,0.00542624,0.02010965,0.01478351,0.01655539,0.06501536,0.02094230,-0.02579059,0.07331845,0.02693584,0.02889236,0.10177160,0.07487914,0.04085752,0.05032087,0.06797725,0.01419724,0.11214102,0.00000000,-0.01474329,0.03805441,0.00000000,0.00000000,0.00564959,0.00453653,0.00000000,0.01702143,0.07851392,0.00000000,0.01485176,-0.00432334,-0.03217867,0.00000000,0.06771812,0.00000000,0.14558662,0.12883929,0.11370558,0.00073476,0.06182476,-0.03340400,0.05445379,0.00000000,0.16853963,0.02197811,0.04761895,0.00000000,0.03622554,0.00000000,0.00000000,-0.00200002,0.01316935,0.00000000,0.02663727,0.10144920,0.00000000,0.10276435,0.00000000,0.01333325,0.02683779,0.00000000
2013-10-31,0.01910825,0.00000000,0.09152271,0.07202893,0.00000000,0.00000000,0.06626513,0.03638201,0.00000000,0.13195636,0.10775567,0.09047612,0.33272747,-0.00715601,0.00000000,0.04467270,0.09108245,0.07718128,0.19366847,0.09079993,0.33553257,0.00000000,0.19881014,0.08456080,0.08236731,0.11269093,0.00000000,0.12666642,0.00000000,0.00000000,0.07445258,0.08550162,0.04979373,0.06078694,0.00000000,0.00000000,0.05070433,0.00000000,0.00000000,0.18055539,0.16745774,0.13548757,0.06307975,0.11269996,0.00000000,0.01906253,0.02004641,0.07414875,0.02556375,0.12357773,0.00290706,0.06769241,0.09040959,0.03521114,0.20065551,0.12692325,0.08637592,0.07325859,0.07562592,0.10244683,0.03213749,0.05368302,0.07499975,0.00000000,0.06831492,0.12018141,0.00000000,0.00000000,0.06404507,0.07096791,0.00000000,0.08159010,0.02139466,0.00000000,0.04390263,0.04429500,-0.01219529,0.00000000,0.11120777,0.00000000,0.01558198,0.11006753,0.00116420,0.15271639,0.05419335,0.06802511,0.03522361,0.00000000,-0.05769238,0.04301068,0.06550798,0.00000000,0.09918730,0.00000000,0.00000000,0.12892460,-0.08130147,0.01673402,-0.05081108,0.17572168,0.00000000,0.00282899,0.00000000,0.01052634,0.02329574,0.00000000
