Date,MKT,SMB,HML,RMW,CMA,MOM,RF
2013-01-31,0.03547355,0.01589981,,,,,0.00000000
2013-02-28,0.00790596,-0.04921578,,,,,0.00000000
2013-03-31,-0.01402802,-0.03389968,,,,,0.00000000
2013-04-30,0.04422753,0.03976441,,,,,0.00000000
2013-05-31,0.03557169,0.01463068,,,,,0.00000000
2013-06-30,-0.04818623,-0.02651275,,,,,0.00000000
2013-07-31,0.06802562,0.00557194,,,,,0.00000000
2013-08-31,-0.01009896,0.03299248,,,,,0.00000000
2013-09-30,0.03132630,0.00188455,,,,,0.00000000
2013-10-31,0.05727315,0.03170263,,,,,0.00000000
2013-11-30,0.00582486,0.01191925,,,,,0.00000000
2013-12-31,0.02163636,-0.01385169,,,,,0.00000000
2014-01-31,0.00345821,0.02559207,,,,,0.00000000
2014-02-28,0.05080402,0.00293630,,,,0.03880485,0.00000000
2014-03-31,-0.01110467,0.04516365,,,,-0.01168001,0.00000000
2014-04-30,0.00508466,0.00498590,,,,-0.02418846,0.00000000
2014-05-31,0.01372513,-0.00830982,,,,0.01284294,0.00000000
2014-06-30,-0.02036138,-0.00798623,,,,-0.01397058,0.00000000
2014-07-31,-0.00412469,-0.00558748,,,,-0.01877414,0.00000000
2014-08-31,0.01883833,-0.00869990,,,,0.00163945,0.00000000
2014-09-30,-0.00170448,0.03083833,,,,-0.00449523,0.00000000
2014-10-31,0.00416568,-0.02882933,,,,-0.00617677,0.00000000
2014-11-30,0.02905395,0.00491962,,,,0.02856527,0.00000000
2014-12-31,-0.00615833,-0.01656051,,,,0.02149152,0.00000000
2015-01-31,0.03360905,-0.00185124,,,,0.00904112,0.00000000
2015-02-28,0.06060483,0.04259398,,,,0.02235738,0.00000000
2015-03-31,0.01583464,0.03388110,,,,0.00401532,0.00000000
2015-04-30,0.00076250,-0.01869756,,,,-0.01496837,0.00000000
2015-05-31,0.01863508,-0.02531903,,,,-0.00493494,0.00000000
2015-06-30,-0.03064825,0.00898574,,,,-0.02898009,0.00000000
2015-07-31,0.03510690,0.00247097,,,,0.04377653,0.00000000
2015-08-31,-0.03355567,-0.02665246,,,,-0.01821205,0.00000000
2015-09-30,-0.02253232,-0.03275629,,,,0.01230925,0.00000000
2015-10-31,0.04191613,0.02536174,,,,-0.01273553,0.00000000
2015-11-30,0.00850834,0.00990813,,,,0.01854802,0.00000000
2015-12-31,-0.02078488,-0.01733547,,,,0.01519779,0.00000000
2016-01-31,-0.07123241,-0.04120631,,,,-0.04663913,0.00000000
2016-02-29,-0.02787646,0.00155670,,,,-0.00129129,0.00000000
2016-03-31,0.01899251,-0.01595232,,,,0.03435469,0.00000000
2016-04-30,0.01238070,0.04373048,,,,-0.07845595,0.00000000
2016-05-31,0.01528630,-0.02698918,,,,0.04805926,0.00000000
2016-06-30,-0.10069246,-0.03082159,,,,0.10348658,0.00000000
2016-07-31,0.05024736,-0.00474045,,,,-0.01049043,0.00000000
2016-08-31,0.03388347,-0.00136979,,,,-0.05100454,0.00000000
2016-09-30,-0.01573948,-0.00805047,,,,0.05186243,0.00000000
2016-10-31,0.02850436,0.05691499,,,,-0.10290253,0.00000000
