raw_ticker,yahoo_symbol
HSBA,HSBA.L
ALV,ALV.DE
SAN,SAN.MC
UBSG,UBSG.SW
BBVA,BBVA.MC
UCG,UCG.MI
ISP,ISP.MI
CS,CS.PA
BNP,BNP.PA
INGA,INGA.AS
BARC,BARC.L
CABK,CABK.MC
LLOY,LLOY.L
DBK,DBK.DE
LSEG,LSEG.L
INVE.B,INVE-B.ST
NDA.FI,NDA-FI.HE
NDASE,NDA-SE.ST
G,G.MI
NWG,NWG.L
ACA,ACA.PA
III,III.L
SREN,SREN.SW
GLE,GLE.PA
STAN,STAN.L
EQT,EQT.ST
SEB.A,SEB-A.ST
CBK,CBK.DE
PRU,PRU.L
SWED.A,SWED-A.ST
AV.,AV.L
VNA,VNA.DE
SHB.A,SHB-A.ST
BMPS,BMPS.MI
ABN,ABN.AS
BPE,BPE.MI
BAMI,BAMI.MI
NN,NN.AS
LGEN,LGEN.L
SAB1,SAB.MC
UNI,UNI.MC
BMED,BMED.MI
MAP,MAP.MC
FBK,FBK.MI
BKT,BKT.MC
SGRO,SGRO.L
AGN,AGN.AS
LI,LI.PA
STJ,STJ.L
MRL,MRL.MC
PHNX,PHNX.L
BALD.B,BALD-B.ST
MNG,MNG.L
SDR,SDR.L
ICG,ICG.L
BEZ,BEZ.L
UNI1,UNI.MC
LAND,LAND.L
LMP,LMP.L
HSX,HSX.L
CAST,CAST.ST
AT1,AT1.DE
BBOX,BBOX.L
AZM,AZM.MI
BLND,BLND.L
IGG,IGG.L
INVP,INVP.L
ABDN,ABDN.L
PHLL,PHLL.L
ALLFG,ALLFG.AS
COL,COL.MC
UTG,UTG.L
SHC,SHC.L
QLT,QLT.L
BPT,BPT.L
PHP,PHP.L
IWG,IWG.L
EMG,EMG.L
FABG,FABG.ST
JUST,JUST.L
AJB,AJB.L
WALL.B,WALL-B.ST
OSB,OSB.L
TCAP,TCAP.L
KINV.B,KINV-B.ST
HMSO,HMSO.L
SRE,SRE.L
GRI,GRI.L
N91,N91.L
GPE,GPE.L
ASHM,ASHM.L
YCA,YCA.L
STOR.B,STOR-B.ST
SUPR,SUPR.L
GROW,GROW.L
JUP,JUP.L
MTRO,MTRO.L
CBG,CBG.L
SBB.B,SBB-B.ST
CSN,CSN.L
PRSR,PRSR.L
LOGI.B,LOGI-B.ST
CHRY,CHRY.L
THRL,THRL.L
CRE,CRE.L
ESP,ESP.L
INTRUM,INTRUM.ST
IPO,IPO.L
IPF,IPF.L
CORE.B,CORE-B.ST
PCTN,PCTN.L
FCH,FCH.L
CREI,CREI.L
NRR,NRR.L
VANQ,VANQ.L
SOHO,SOHO.L
SREI,SREI.L
CLI,CLI.L
SSIT,SSIT.L
VEFAB,VEFAB.ST
FOXT,FOXT.L
ASLI,ASLI.L
WJG,WJG.L
ALCBI,ALCBI.PA
DOXA,DOXA.ST
API,API.L
LIT,LIT.L
