,UNI.MC,NN.AS,STJ.L,NWG.L,GLE.PA,FBK.MI,SEB-A.ST,EQT.ST,DBK.DE,G.MI,BMED.MI,VNA.DE,LGEN.L,AV.L,BNP.PA,SREN.SW,ISP.MI,UBSG.SW,SWED-A.ST,SDR.L,NDA-SE.ST,CS.PA,BPE.MI,SAB.MC,INGA.AS,BALD-B.ST,BARC.L,ICG.L,LI.PA,UCG.MI,ACA.PA,AGN.AS,SHB-A.ST,BAMI.MI,III.L,INVE-B.ST,MRL.MC,PRU.L,BBVA.MC,CBK.DE,LAND.L,CABK.MC,BEZ.L,LSEG.L,MAP.MC,HSBA.L,SGRO.L,MNG.L,LLOY.L,ABN.AS,STAN.L,BKT.MC,PHNX.L,LMP.L,ALV.DE,NDA-FI.HE,BMPS.MI,SAN.MC,CRE.L,THRL.L,PHLL.L,PRSR.L,AJB.L,OSB.L,HSX.L,UTG.L,CSN.L,CREI.L,EMG.L,FCH.L,JUP.L,AT1.DE,N91.L,GPE.L,IPF.L,SUPR.L,CBG.L,SRE.L,INVP.L,YCA.L,CAST.ST,STOR-B.ST,ALLFG.AS,BBOX.L,GROW.L,CHRY.L,MTRO.L,ABDN.L,IPO.L,CORE-B.ST,BLND.L,IWG.L,TCAP.L,FABG.ST,HMSO.L,AZM.MI,PHP.L,ASHM.L,WALL-B.ST,BPT.L,IGG.L,NRR.L,COL.MC,KINV-B.ST,LOGI-B.ST,ESP.L,INTRUM.ST,GRI.L,VANQ.L,SBB-B.ST,JUST.L,QLT.L,SHC.L,PCTN.L,SSIT.L,SOHO.L,WJG.L,DOXA.ST,API.L,LIT.L,SREI.L,ASLI.L,VEFAB.ST,ALCBI.PA,FOXT.L,CLI.L
UNI.MC,1.0,0.3634889675779802,0.2537434496967309,0.3629930854017211,0.46691692029666026,0.33854517241357107,0.32802116528823727,0.20962613048318432,0.41800216376825394,0.3172100311598091,0.3409667107515999,0.06883876762054496,0.35673105780462055,0.3304156774286687,0.47051718630300937,0.34355828081327006,0.4115427245010302,0.3626799539386937,0.30354745801064076,0.29064726725021384,0.3464792622274029,0.35869910776605196,0.3393256774595102,0.5385584269844013,0.4422791948016974,0.1273733522288376,0.40887746058055496,0.27345384682354434,0.29102765379979956,0.3956435071045774,0.42189576262588385,0.37209050310705694,0.30658659494283436,0.33806968571292106,0.24310138200863907,0.23304452259241074,0.2926490074774883,0.3422589873437857,0.5027488834884892,0.4429068153000339,0.26763392512787226,0.5141030619300871,0.2393938726603061,0.08189032328339924,0.36129110203191095,0.35720614430110254,0.09603109510149005,0.3058324967671897,0.39900977245662705,0.46608961789711295,0.36352838746790134,0.46679737821114925,0.3085578725493049,0.18193523252005997,0.3742751121906548,0.3727939299883764,0.20106993920264035,0.5060391030105312,0.12719899147309588,0.11261561274419057,0.1286925033082082,0.1156042652136042,0.20772877681062932,0.2640567591910734,0.17656688105119517,0.18722424118052222,0.13099064842362093,0.14144960715006707,0.17768454166322625,0.08776005041955522,0.2761340268023844,0.19398596320422165,0.19684195970456958,0.19407636102547424,0.1776363794758847,0.09267534162272122,0.262766620963482,0.1656051594098299,0.36494605573858735,0.11199681893731829,0.12254887312656512,0.12601850718665075,0.1484807326577974,0.1381485056246806,0.20485715216996941,0.1272427719259142,0.1688034422185617,0.3068383425686818,0.21782808839155682,0.1373771830730101,0.27936718474519046,0.2394461073174213,0.1896381269001394,0.1338650225089987,0.27465273176602684,0.3180631857657651,0.09279609483375603,0.22940235122553454,0.10619293278746264,0.16065413471191206,0.14926508320196527,0.2524511937779643,0.17744407546547597,0.16152183573720516,0.05440641632970651,0.16872583196556462,0.19859794888238907,0.17338341895554585,0.18421711936017893,0.00046960350916230647,0.22131642429066847,0.31272162590434277,0.24327128762695188,0.18859253264646772,0.07416983166434007,0.12918876968102538,0.15610827734576183,0.0404139868523846,0.12287523551341271,0.059186979263369306,0.14116997714015628,0.10991199212669943,0.12488874620139774,0.01059894565391602,0.1457884693535548,0.1422116604391473
NN.AS,0.3634889675779802,1.0,0.46363918307882934,0.4591802916791038,0.5650000946304875,0.42030012145252155,0.5045940933506173,0.27882673356383697,0.5444492784288973,0.5233579995270656,0.44777216882578613,0.23221637501473055,0.5697313628006612,0.5669655572028113,0.5790306727232392,0.5378804917681175,0.5169573123373651,0.5586662179929955,0.43919923540840256,0.5105256829956062,0.47244632372144346,0.6068286596519711,0.39607506083143046,0.449007874945177,0.5760436439308678,0.2984491690362897,0.5422179557714016,0.4219157953710037,0.3993769818317369,0.4882501686954825,0.5579148769138759,0.6275254190760481,0.4392957023807341,0.3982655542344329,0.43867631403926705,0.47165138544690144,0.37220951114200124,0.5296361316061768,0.5065571850737838,0.5109391874631001,0.4111176349523517,0.45332436210496085,0.32844291206182324,0.2534534429714898,0.48187081405805393,0.4314478484106343,0.3054467920405891,0.3855258423478612,0.5022943744786109,0.5264360026683059,0.4356121253952512,0.4144183762368197,0.48392030300129646,0.3321338013881636,0.6059883186581183,0.4981190957064881,0.24426858824626868,0.5354921935335986,0.09528350979883102,0.22132849520300643,0.1378168385290298,0.1583987469600274,0.25201054024163766,0.33894935958593186,0.29411201544447485,0.33231165655288575,0.1947511534618334,0.16822720996789975,0.3378686035592271,0.1532098379889127,0.4104091919326803,0.25724476822499437,0.23225272379657355,0.35622948806219734,0.16142338307879947,0.1453972086885025,0.32398323214808866,0.258572772921057,0.43678925478588015,0.15784111097353168,0.2789664887584653,0.10751061115310367,0.1691443437907361,0.31366688894682704,0.2593119245405852,0.1870192043406504,0.23368882589322254,0.48131596516960135,0.2940981730269457,0.20762845752405878,0.4080927523382478,0.35673653694419316,0.27609997458574603,0.28637297057201033,0.33506257354204466,0.45977276699674313,0.22539866805676412,0.354745446892276,0.2703115727238723,0.20158149868403788,0.2262403566056805,0.2794219464209912,0.25255316684701606,0.3273500802304939,0.1043156408823713,0.2863479980374744,0.29114560573395953,0.30919612730401846,0.24650471781701883,0.012485111826690468,0.27192302834942605,0.37067182318248443,0.3228203530463667,0.2759619557470305,0.04827728529698152,0.1851610562194591,0.16951567085830996,0.03799841911810188,0.14649004591395368,0.10292907204729164,0.1931914735553671,0.14815481419447282,0.13923695774529957,0.03139441860314831,0.18332675531377582,0.19471768586483418
STJ.L,0.2537434496967309,0.46363918307882934,1.0,0.4679102316871349,0.5069940964604023,0.4152057440719671,0.44266499789814107,0.3355938489290562,0.449644967821629,0.48336559968601256,0.47177079651484577,0.2837434359480739,0.6133713781127142,0.5623964206238169,0.5192688309631729,0.4441355956522754,0.4811108358251383,0.5105251642351241,0.39080402160530175,0.6290508590013596,0.4327849787489702,0.5467249786057099,0.3411022439628192,0.3660135914803914,0.49416370582523633,0.35104850021030876,0.5262518978484731,0.5300830534295289,0.3837523821533636,0.4213743963761363,0.4961342361698186,0.47921875133615616,0.3940494795321011,0.3457144988600941,0.5398775341693052,0.5102342667171026,0.4115056008079111,0.5707370504320064,0.4657537973976328,0.40492953779072743,0.4889795345777816,0.36854251903704544,0.3553244258080504,0.3431812310302313,0.4439409765297921,0.41585868798696823,0.44874411103053763,0.3333240384150907,0.5122889722933295,0.3888582576409194,0.42362357125343536,0.3434829460065546,0.5196430750663028,0.43363583726527133,0.5439636889652393,0.4711409177934879,0.22854157637850492,0.4833302151604448,0.13434697988443003,0.24684863731693046,0.20826991245847568,0.182902779205548,0.3491308664708053,0.3906308605557981,0.30234875290399144,0.44069321379779075,0.2212945514808371,0.1841276804670259,0.4466813300972902,0.12159861640195334,0.5313293870021059,0.28130315592163285,0.31627057844979384,0.4588688196357372,0.20822267816727674,0.21192966819424358,0.41634910357664096,0.29675844691163883,0.4992321452521628,0.15490503597695804,0.3305112792598114,0.1991623356171654,0.23878282511411555,0.38929617016948115,0.33901449941074985,0.2143210506622201,0.23924279526261769,0.6023372113954369,0.34122007673084975,0.2366833072440389,0.5049894883537652,0.39608949578276653,0.35079236682988996,0.33814954189314017,0.389122233677593,0.4810692973426008,0.30963150761574965,0.4760839231499367,0.3378600500568802,0.3074741162267285,0.3241699487031716,0.2796144903740286,0.30725847667491984,0.4112482370531413,0.11578981418508347,0.28931441091861376,0.3068376839109907,0.4319788245628097,0.31379752390955673,-0.01330346326647595,0.3380631319834904,0.4681212738563167,0.4558856841629266,0.3054416206631869,0.06785084566124966,0.16789068315921188,0.18075035450049753,0.047016451063706104,0.18765983529978883,0.054998833992069944,0.21957269935911367,0.16515964493172802,0.13454101805701618,0.008282225892573318,0.24739590298155567,0.2561460211880526
NWG.L,0.3629930854017211,0.4591802916791038,0.4679102316871349,1.0,0.639777831922329,0.40579394219682796,0.4993464959324691,0.21660116638664995,0.5844243478554002,0.508627909780226,0.47864411647991834,0.1448584150639448,0.6028108797487933,0.566679926678919,0.6355141461199515,0.435163626508913,0.5621552938475309,0.5579812331340365,0.4177938552369627,0.5358432628799535,0.4852409004615627,0.5592820357354582,0.46036961802384735,0.5078510425815358,0.6110106870505753,0.21601225005403768,0.7293647040657897,0.4369665444181512,0.32705533404886844,0.5326641294041081,0.604831725537745,0.5479348695407373,0.4589855315538748,0.46387424731226745,0.4337446389492878,0.4232614236734814,0.33643472735200164,0.5209017862228955,0.5876288799387753,0.5380206811449658,0.44712734581002206,0.5260875294190441,0.31561270815023323,0.2698845814768801,0.5088140215903638,0.5211012781896049,0.28072989617254096,0.33232453255083116,0.7432171686510477,0.5214310139606977,0.5264386461990901,0.45604946927979667,0.47443105843410505,0.30261481904487963,0.5372562282203928,0.5171483063366726,0.26677540849497644,0.6170860298579985,0.09348748868618828,0.13111868504166208,0.1413943487794878,0.10448754302703647,0.23385890237305448,0.4404062977507422,0.27105821139125413,0.33115173239972756,0.21696411243294736,0.1451981935901242,0.3543453732345897,0.09046600508265622,0.43914694082464045,0.22223414793714458,0.2502329975447157,0.38935906914770657,0.24005063206127233,0.13741922610071108,0.4173787282887666,0.21604366234576908,0.5028758824494739,0.1300174428749363,0.20445229062496784,0.12868710032170166,0.1622962591851879,0.26007545614275523,0.2390868293872539,0.12755968683544716,0.25315239333750855,0.5097441962491533,0.30441555038981666,0.16276441370304282,0.4563050406128218,0.3102297858854297,0.3059999950076285,0.20991823087503492,0.3495786734395219,0.4805886409021313,0.20071641705766285,0.40772445387167894,0.19273918642111296,0.18952529575595317,0.21585275122391223,0.3089747385333163,0.21552716310515393,0.28743128266906376,0.07216509551485265,0.20159247652455858,0.2753353420593329,0.3482610398078211,0.28753306259052264,-0.007222804665499984,0.31425191992480606,0.3428205874037222,0.4033191229655957,0.2662945620847545,0.04811843169777774,0.11015017841968629,0.14405468677350602,0.035138321353977424,0.1757401822994749,0.04924028554107445,0.20441261025053323,0.10156985072076401,0.11537245740861557,0.029218257133614357,0.23844990309803948,0.21549398992646035
GLE.PA,0.46691692029666026,0.5650000946304875,0.5069940964604023,0.639777831922329,1.0,0.486928845917097,0.6067531181066886,0.2925477661192832,0.7291553929904846,0.6517869435632538,0.629570257064051,0.17368242397363817,0.6359130555928985,0.6216013314835409,0.8603855104779333,0.5508109072481638,0.7520473625801914,0.6651529424706856,0.5286379706771139,0.5618696978051618,0.5974588224361325,0.7339637461232726,0.6066446795529049,0.6616259276716632,0.7796042536684786,0.266246462633514,0.7175702297114506,0.4925700012686211,0.4660835496993359,0.7264256086358972,0.8249959701886372,0.6637402152902486,0.5484065557062054,0.5992713152825582,0.46569860200729846,0.4999739649485205,0.40053838552649373,0.6135415196768756,0.7473653195037935,0.6931664200324625,0.4420334909945552,0.6659775245947874,0.34632415618039725,0.26310760119244414,0.619586176872886,0.5699853494129832,0.27854467722578596,0.37609460361016744,0.6653942824965307,0.6268719402682565,0.5798875055811806,0.6058790958268602,0.4905335860798278,0.3100531137592451,0.6729158807499842,0.6273286686097019,0.3556806593349613,0.7779822754454928,0.09114602654556335,0.19389126846235127,0.13817207396434145,0.14104495474134274,0.22068974694934737,0.4083278531404754,0.26893794392319426,0.3588396878719901,0.2153647929181746,0.16255656416534425,0.3895282032936431,0.15320104102935206,0.47430310807393133,0.25471127478295835,0.2771351869088698,0.3962473647685983,0.2734157902460538,0.12142129479974441,0.42398488815912694,0.2537977593571928,0.5553513142261013,0.14182257210366145,0.25639448058540626,0.15986644341527828,0.17360608276069253,0.2674169506210561,0.25556120256744724,0.19177698575295,0.27148376368329086,0.5691326169555204,0.292943420372563,0.19891701659685732,0.459648075327893,0.389141895774749,0.31550875044108867,0.2664834398550341,0.3884380158779036,0.6090038155331806,0.21237281683198767,0.41965969592396557,0.2481012215065543,0.19901899692608613,0.21006906412929893,0.31253602624209303,0.3142986710507573,0.3473306646689886,0.08203997390207834,0.2640320638871914,0.2964526602435517,0.3650525954766437,0.3108003576481706,-0.023320205450242406,0.33100440076848026,0.36293644536707464,0.4005856318041893,0.3053968682338606,0.05079333266277412,0.18548313384178589,0.1859942249216985,0.06813153168689318,0.1832597089829584,0.09945419291711353,0.22972496332530176,0.13741033425527602,0.14166425118040518,0.027530413129674282,0.23992619512048538,0.20433751733642858
FBK.MI,0.33854517241357107,0.42030012145252155,0.4152057440719671,0.40579394219682796,0.486928845917097,1.0,0.44245193868532634,0.3088757458733752,0.51307720015586,0.5152096940028319,0.5886864491932889,0.22009262397282117,0.422415832500951,0.40404202423249713,0.5155070480671078,0.4031255028960935,0.5784777084008215,0.4813951973351153,0.4149030134501812,0.4711547642761904,0.43362994981537656,0.4784433781655827,0.48665425483403646,0.4182586418438486,0.5126741432157264,0.26341177314322256,0.45189266535141703,0.3976932342026913,0.25481473173271046,0.5523301175386729,0.4918251905105709,0.4283293851155754,0.3980061898477083,0.5097462100072508,0.4067562150837105,0.4723051161687955,0.3346437547759767,0.41500886787330304,0.49665300637239396,0.46563743415594677,0.29307567646110694,0.431329617860687,0.24156410289990748,0.29782595379952226,0.3883902747117695,0.36162827653947666,0.2999156321085434,0.23290217143858977,0.42293760414934434,0.42900447638426764,0.3729537851243853,0.38996711727544014,0.37587426258504647,0.2902297119514162,0.4800224607719248,0.4675073256664614,0.30576073561424105,0.5233683162918773,0.10932410844076801,0.15956713227510225,0.17134723892079085,0.12312444685024705,0.26536871512636867,0.31939058473144166,0.2016798436894433,0.26430932908523663,0.12228634642303704,0.10524752238457574,0.3488576003479843,0.09041824956105218,0.3675596337561738,0.20843337774283563,0.24577062074953135,0.27390564228448006,0.13475555337315687,0.10436701108229306,0.316563199602598,0.1772904135766428,0.35415661925384195,0.15116747861525265,0.2601081376557139,0.19342681392834885,0.22338005680584117,0.2566210254475354,0.2536835411792004,0.16939537358863044,0.20691292076455925,0.4391514575967218,0.27097249068396234,0.18763176765138906,0.30340650184258955,0.29456653628483603,0.25747916804053717,0.2524331264522777,0.22621889599418635,0.5631033522682137,0.18789055889545983,0.33649235179905235,0.24855056750331542,0.24716467263141498,0.20178773224718377,0.1474619891068033,0.21379846624802007,0.34234963409939934,0.10532003286090867,0.16942751757486435,0.24813380140817723,0.25771956480960406,0.20548472916908153,-0.00046117258988868817,0.23831528618039483,0.2843035256016946,0.28859298385862464,0.18209146971432374,0.04910941857402868,0.09433616340247197,0.11171216495409966,0.05359102796188661,0.12294963479296234,0.05389891096935893,0.144355826785797,0.11140093850592177,0.1456353453611629,0.03850254851998098,0.201624356118386,0.14451879164911255
SEB-A.ST,0.32802116528823727,0.5045940933506173,0.44266499789814107,0.4993464959324691,0.6067531181066886,0.44245193868532634,1.0,0.31483472091477616,0.5683611674229243,0.5321057883518387,0.5010576641134722,0.23376630088211267,0.5158759978454156,0.5046227334997714,0.6214418320725408,0.5054934272738922,0.565700199622695,0.5783558595868741,0.76681446133143,0.5319765070251934,0.7444131878913615,0.5845557701162594,0.43819148217489085,0.4726806706270854,0.6064681871699954,0.33508953294642274,0.5641308395219459,0.4600503797018575,0.4061365789967209,0.5182880123383679,0.603836635357551,0.5445962524967425,0.7508456067401746,0.44927085462043764,0.43808019627976635,0.6373405734137088,0.3502388494905907,0.5333724449205784,0.5666805848640105,0.5179447801226443,0.3809958228335561,0.494073798389954,0.3036603733266253,0.28221428431923373,0.5229223568865533,0.4870286923125059,0.28214079742093334,0.34687499432217933,0.5029969324381561,0.5024761688564967,0.4758993055089919,0.451870259209373,0.4457834783657103,0.29800649625767334,0.5745572786861991,0.7501064107698404,0.2803386877497746,0.5827749793420087,0.08427786995047293,0.16668597592271633,0.1569754458091572,0.138492134311634,0.21967578135077334,0.32421373584058344,0.2651422157131907,0.32323410802409513,0.1938837079208346,0.13779288895647326,0.3694333666615116,0.10486258523821214,0.4013854461491793,0.27199291143365706,0.21544346747267418,0.31337021208096016,0.22595718196876316,0.12852538958383902,0.3525926706046221,0.23266648843670834,0.48811519036314166,0.14491142083259637,0.3149148971336626,0.1596930808393381,0.18916247578206047,0.267150535001927,0.2445408015174135,0.14119337711429747,0.21549139310430718,0.49469205438147146,0.2736211260669933,0.24067942804213843,0.394744644746011,0.3556986052609575,0.2716146343624804,0.3310466932713726,0.33020596118159135,0.5057541632968944,0.19008428884251502,0.37181926154171496,0.3142186776669155,0.19805167053448153,0.1751953062187861,0.2583840078428319,0.2736785267906716,0.4046656695198868,0.10621663858673838,0.2250608699407707,0.3380596282304642,0.3017171385065556,0.26424449785376886,-0.013928002756046972,0.2610838405071656,0.3051369792668504,0.3470101754166122,0.2663081894557756,0.06737173133660403,0.15980175928910306,0.16130714855906378,0.08289532372196351,0.145785952548668,0.08516329508323668,0.22872731158327794,0.1323670679772624,0.12981322859563232,0.04852514635158119,0.21944469152913212,0.16546490636383324
EQT.ST,0.20962613048318432,0.27882673356383697,0.3355938489290562,0.21660116638664995,0.2925477661192832,0.3088757458733752,0.31483472091477616,1.0,0.25117217743746173,0.2564519337928173,0.3135260704813368,0.32111228798063407,0.3396646179860101,0.25817683497918825,0.2949011701776234,0.29793725415488753,0.2669487231141275,0.3557570898780859,0.2563396532408044,0.31986515330023313,0.26381037316790223,0.28910092308119884,0.17397389434091964,0.18297565103077978,0.2796283575433525,0.45942173708052064,0.30299238620393815,0.5036107158986934,0.25467405062568443,0.22272602067209274,0.2660329200985833,0.27417880959626095,0.23611387036761672,0.17096655170215058,0.38552073312230134,0.46917043937839614,0.31455332622624205,0.36418271207464276,0.285018849201392,0.19954557908021914,0.2743856307655223,0.1796060380649345,0.1763422325089369,0.22322539587282703,0.1853365904783562,0.20132335876321752,0.35560037926505084,0.3583247570981978,0.2492614609933584,0.2546749488285172,0.21333259556381734,0.1941961312687088,0.31082001158685496,0.3503511199460215,0.33396461255231163,0.31583907244971127,0.13335964290133084,0.2757100618264098,0.10776650943326066,0.3302191849852149,0.25333298197338316,0.23609404354100613,0.360139359170301,0.2570215004319929,0.215588862858445,0.3408067768967096,0.1356174746079909,0.2231192422171644,0.2559574330486315,0.196949059778296,0.3270562028116261,0.37453502230696695,0.31014619558494977,0.2830276255313702,0.11944216724651126,0.27856450549286893,0.22862724837941192,0.29364628739726994,0.2828332387062689,0.2070676131822146,0.44462088492595636,0.32469882808336104,0.3918115664091981,0.42606172788886776,0.4358859467403741,0.3547618738427726,0.1724410620222915,0.3723696694634227,0.3163884412103662,0.39718733814350726,0.28120398662759044,0.3565886247071738,0.25546150086957253,0.40959137456193473,0.2440644092858485,0.3262634242649675,0.2932040430667642,0.3147625270734198,0.4257983836969103,0.406943436843672,0.18308307509839622,0.17139052498930363,0.2366344302387397,0.4756804921376147,0.20686488767111275,0.2809674810226639,0.24668085075641483,0.3060780732522848,0.21864011107620396,0.0016422040068498542,0.18707059126137862,0.39195919274759744,0.2819916237236555,0.2619786287129837,0.09646191587045305,0.21583208616894403,0.20365896297236036,0.08359444456932924,0.18062629841409786,0.09836703566403628,0.23984919905907393,0.19049828422158488,0.25995476759049185,0.04581004963017657,0.1767498837951111,0.18636179362180474
DBK.DE,0.41800216376825394,0.5444492784288973,0.449644967821629,0.5844243478554002,0.7291553929904846,0.51307720015586,0.5683611674229243,0.25117217743746173,1.0,0.5945783576014516,0.564602330225262,0.1614240633115697,0.5389553306871865,0.549073991392208,0.7312060801567516,0.5116570570954613,0.6693583366113945,0.6907626133111924,0.49801300359718337,0.5280944158010311,0.5810340012646359,0.6363000347220853,0.557314519719235,0.592124390103775,0.7038759214914471,0.23003009425215515,0.6832145889383825,0.4387950122009253,0.3586049032124553,0.6644871725742795,0.70166724332853,0.6231990796663383,0.5087924401542074,0.5709525797719176,0.4433766050577742,0.5107866059269504,0.3371829563208582,0.5443288820095438,0.6655297372379396,0.7198732058180196,0.3629073207315676,0.6152458350207931,0.288863343725332,0.26579916918873825,0.5520216660359433,0.5466242278756747,0.2423471375889947,0.33449980303811516,0.5847254003602875,0.5743325227223688,0.5534165513601411,0.5438333035703029,0.4433529357739523,0.25683595423232275,0.6305651718281478,0.6076529659859016,0.32046621307708295,0.7057145187599909,0.09174599351459807,0.13650518807077747,0.13764151519399642,0.10649848907713533,0.2252013338813905,0.3381673380839528,0.24305254882637195,0.28255850887631767,0.1703031790764099,0.12700865408362177,0.37499463176290365,0.16061654386413976,0.4256054768781773,0.21224038723145233,0.22626236553760826,0.3031544279739715,0.20750148990167483,0.08706440703758482,0.3733725685597364,0.19929012285008463,0.4846403564729085,0.1632654267845543,0.22931293421556795,0.13846794926923017,0.16616084188678637,0.21027348574416732,0.23674480483940172,0.1489025116968946,0.23653145432352582,0.5099284856220063,0.28675727067320816,0.1712258678502238,0.3864259266915622,0.3305420483568462,0.3021963710207895,0.2261073150246768,0.3044571138058169,0.5586409763335307,0.18739725171433055,0.3930671614369737,0.21460214826793536,0.20123064786187964,0.19295985083690673,0.23382050899402754,0.23975735267917395,0.32038948342539886,0.08074315478888698,0.19416623992449275,0.27693185196633613,0.28253687435064345,0.27075564543832853,-0.01331004217919038,0.2778681652541008,0.32010840415403713,0.33703844061699895,0.22784308163938574,0.059210498620534346,0.15110477973044165,0.12407766253401892,0.05365740707609536,0.14761478599754616,0.07285202893106817,0.17434444675462626,0.10149150613233698,0.13105644157406796,0.04477921521076037,0.19762820784649804,0.1482285925837156
G.MI,0.3172100311598091,0.5233579995270656,0.48336559968601256,0.508627909780226,0.6517869435632538,0.5152096940028319,0.5321057883518387,0.2564519337928173,0.5945783576014516,1.0,0.6655128737882289,0.23337588081896257,0.5732199306031044,0.6059022885733478,0.6748025034164241,0.581874625905757,0.7344759595364654,0.5798830638113132,0.4669705052195404,0.5206398421274856,0.5187879713235675,0.7407157577161492,0.6185711128785044,0.5277472079121234,0.6465195808658978,0.2986122059383138,0.5890667508884178,0.4633551098484731,0.3973171717236284,0.6771941563729265,0.6433790473600595,0.6131849252289296,0.4645278094529276,0.5981563867049915,0.47847789327594414,0.5347419743416993,0.38490546763625294,0.5500707676272759,0.6228881177670794,0.5259809744277443,0.40916703568180657,0.5440936146166466,0.33537967864534046,0.3587389859028831,0.6015654948196681,0.47301273913298136,0.3138288753881825,0.34046654939366183,0.53196633008007,0.48874572079742934,0.45280197890510526,0.4960778034126612,0.4630476085745713,0.3173752756527141,0.7005855869881442,0.5447058276840452,0.36545309256684716,0.6591983586729635,0.10732630483567535,0.17591754221093286,0.1207364523755257,0.13311902629929648,0.22042120068516444,0.34439850113803966,0.29863664104227744,0.34226283312078676,0.18339292599536955,0.14987276481905587,0.378377768383991,0.12121048614682106,0.42837868291822806,0.23927072815251607,0.19750371152831028,0.37316878676887294,0.2463913363214629,0.10445338789799166,0.34003336961990477,0.2187784122169045,0.4467101871255242,0.1284112827166873,0.3009939608932468,0.11043473288860067,0.14291974269283575,0.28013389289129637,0.20750510859629842,0.1523806755750302,0.2053740238840503,0.5242978717619681,0.27340134390676885,0.1755674067867508,0.4225744295753081,0.3531116666391472,0.3117168549029751,0.2986716918778728,0.314925784661336,0.6207953460239746,0.21406667006003433,0.3896881720248164,0.2766996914689715,0.17916339031391687,0.2100958052105682,0.22517180148118696,0.29211991036599805,0.3333783504071094,0.06636991959720837,0.2356196809583605,0.2567418972354429,0.33511252200391944,0.2634402492130253,-0.017784750342167463,0.2835579331179371,0.29441164276661635,0.3785614391129417,0.25881586222930153,0.038649878755821584,0.14872975501575827,0.1612015588436962,0.03226175305956001,0.16912456188827638,0.06358047009963247,0.18858439267493068,0.09566527156971848,0.10631237639434044,0.02948034983681345,0.23243481558109017,0.18099636028864685
