,UNI.MC,NN.AS,STJ.L,NWG.L,GLE.PA,FBK.MI,SEB-A.ST,EQT.ST,DBK.DE,G.MI,BMED.MI,VNA.DE,LGEN.L,AV.L,BNP.PA,SREN.SW,ISP.MI,UBSG.SW,SWED-A.ST,SDR.L,NDA-SE.ST,CS.PA,BPE.MI,SAB.MC,INGA.AS,BALD-B.ST,BARC.L,ICG.L,LI.PA,UCG.MI,ACA.PA,AGN.AS,SHB-A.ST,BAMI.MI,III.L,INVE-B.ST,MRL.MC,PRU.L,BBVA.MC,CBK.DE,LAND.L,CABK.MC,BEZ.L,LSEG.L,MAP.MC,HSBA.L,SGRO.L,MNG.L,LLOY.L,ABN.AS,STAN.L,BKT.MC,PHNX.L,LMP.L,ALV.DE,NDA-FI.HE,BMPS.MI,SAN.MC,CRE.L,THRL.L,PHLL.L,PRSR.L,AJB.L,OSB.L,HSX.L,UTG.L,CSN.L,CREI.L,EMG.L,FCH.L,JUP.L,AT1.DE,N91.L,GPE.L,IPF.L,SUPR.L,CBG.L,SRE.L,INVP.L,YCA.L,CAST.ST,STOR-B.ST,ALLFG.AS,BBOX.L,GROW.L,CHRY.L,MTRO.L,ABDN.L,IPO.L,CORE-B.ST,BLND.L,IWG.L,TCAP.L,FABG.ST,HMSO.L,AZM.MI,PHP.L,ASHM.L,WALL-B.ST,BPT.L,IGG.L,NRR.L,COL.MC,KINV-B.ST,LOGI-B.ST,ESP.L,INTRUM.ST,GRI.L,VANQ.L,SBB-B.ST,JUST.L,QLT.L,SHC.L,PCTN.L,SSIT.L,SOHO.L,WJG.L,DOXA.ST,API.L,LIT.L,SREI.L,ASLI.L,VEFAB.ST,ALCBI.PA,FOXT.L,CLI.L
UNI.MC,1.0,0.30712532159468187,0.22794538828733985,0.3417950556673201,0.4109109769502602,0.29027607968070207,0.27540866254227164,0.1443171554490951,0.3853019678303384,0.28578041818731736,0.3001698020140727,0.0721512455442633,0.28140590451043057,0.28748513950743004,0.4146968655390682,0.2486872273964617,0.4031712516744543,0.34163027188042366,0.2646349465978924,0.2554447333712773,0.3045420469669341,0.31549374444494394,0.3445616489391878,0.489788443630773,0.41129200991949133,0.09134014340872494,0.36085448111871543,0.20838312670874598,0.23449531519421984,0.38286144170956654,0.40261397118517545,0.3561757535323157,0.28345167743262767,0.34969514016367337,0.18036350003263957,0.17847034517766164,0.2227489856150561,0.28064482712704797,0.4667118106616983,0.40449670739576876,0.2086232841180361,0.47191622087942325,0.177256972945034,0.05036126642939875,0.3371026716041799,0.3025404714697889,0.07973181559422292,0.2490426370703385,0.35213908871060573,0.41574397545780517,0.3388320261626768,0.46109347221518265,0.2725495986130274,0.14062909922061714,0.31777435815267147,0.3225040723815738,0.264887258880488,0.476238783795845,0.11568518068770439,0.07302367067709643,0.1061252733230974,0.0753035321044365,0.15182328687859958,0.23819832460971926,0.16948965126336887,0.12901744858957132,0.12421456563867167,0.09420795761184703,0.19753770691676087,0.09909896466253428,0.23399711915083818,0.15865377143959064,0.16536780193386802,0.16663294805075496,0.12451729302285242,0.0941109637790248,0.26845074486400694,0.10644520457104255,0.27950283661194875,0.08851292817730357,0.08671759733868409,0.14565009399232448,0.1503116261216779,0.1136463853566365,0.14803117257917417,0.08735586766554765,0.16399282493891246,0.24897253714742346,0.160482248409016,0.10620736709390513,0.22282276664581685,0.1956048705501506,0.1865390844147731,0.08827474978668293,0.2147484274205466,0.2641373437631562,0.05841112753473793,0.2023095254328696,0.08359475804640458,0.14643559304677756,0.12747782703655558,0.13628121849444394,0.18829871984759056,0.15643532279008462,0.035845510393148906,0.11510825233993827,0.18242293157954753,0.14597350947275403,0.15655532657092278,0.10518096907839382,0.20630527524777387,0.2586391122605074,0.1928053024319144,0.1314121247808515,0.03378189017773798,0.09825324889176595,0.14401819966572585,0.037128543392429804,0.11554399813503008,0.05210871146916339,0.10374748688799852,0.08627041831892897,0.10268481995584648,-0.001306531244522771,0.08776720049478044,0.0992766708242502
NN.AS,0.30712532159468187,1.0,0.430280814378204,0.42363967385816625,0.49389181170169516,0.3828756674673909,0.4487775624042271,0.17603868633090128,0.5022005513683157,0.48246282569955723,0.39918820157260415,0.18775734840360883,0.51817419201933,0.513089987600843,0.5117250466508875,0.46467089536540956,0.456118594911367,0.4914195488978843,0.4107958253404145,0.45227089476415455,0.4275074798728,0.5504841583304736,0.36168143240697564,0.4142246987627752,0.504287133065926,0.23874604860400653,0.47817782296885303,0.3500549084248659,0.3119748347846892,0.43291271305234424,0.5076081159012089,0.608001234678969,0.4039018558582878,0.3721630027860318,0.36999792070043563,0.40153282691078,0.31637981481299293,0.45930483155757335,0.4501268014899357,0.45036030144092054,0.32267449799115705,0.4035554889004008,0.2830755755126384,0.2144458553369899,0.46502581164448403,0.39853244739811144,0.2323729407849157,0.31116912194840246,0.4323752488377042,0.4668843608173642,0.3972547535254171,0.3965286707236017,0.45242345447919313,0.2316997013666574,0.5402750290404075,0.4429372094005275,0.2506470195430406,0.48293536859435926,0.09987194866955675,0.1323958129449634,0.1303493452056228,0.09955670785184988,0.16801201651752345,0.30228467395137165,0.29349450447796577,0.2252899363951943,0.1427084784199317,0.13514621998005666,0.3235469996099321,0.11058488780429093,0.3447055768930117,0.22027888495613038,0.20812429338930788,0.272586618421904,0.15543899418130114,0.14580141676587413,0.38279350562220027,0.17013619903863678,0.3781769947331059,0.12013191297741559,0.21803780757567703,0.13323268604226288,0.15086365900671675,0.22718669172128067,0.20400370653605002,0.11829467524101915,0.22007650510599902,0.4441189102390023,0.23304627958402854,0.16732128231732826,0.3240140105703353,0.3176964692287262,0.29260363212150586,0.21743474980969132,0.274202573404984,0.400551884612063,0.17783527046846992,0.3085352250809927,0.20550676734038395,0.18204638044186738,0.23899566833344954,0.17091045809844194,0.25582071633316483,0.32166885674335616,0.07752296415318365,0.18842901618229865,0.32003776140824763,0.2278413442954038,0.2684570903584417,0.146440575179112,0.2986515237703781,0.29648768635055195,0.2757122186131824,0.17592277881673987,0.03644988600556146,0.10882354523365698,0.13597435611780734,0.05968358167542814,0.1380715107452969,0.07260743720405186,0.13986590312359098,0.09062729556421259,0.10723548102707833,0.03875854214096073,0.1265219736652648,0.12165118472055124
STJ.L,0.22794538828733985,0.430280814378204,1.0,0.45761992214939406,0.4604472816019433,0.39901745412386813,0.4242543002170778,0.283870304361761,0.44710102794042217,0.4651409613921876,0.4544288445971304,0.283859895941718,0.6220812508749464,0.5578551512883088,0.471320715323991,0.4253347815097881,0.4408173596659286,0.5092503876269475,0.3928088386436801,0.6545481288965892,0.4240326936309958,0.5274554460077127,0.3226575467287597,0.35095835848102913,0.4622030436325487,0.3477898101576587,0.49282529413001147,0.5451869296436146,0.37505204634446193,0.39170800756159446,0.47060912667866134,0.4903725627498125,0.38585268028204633,0.33248348764198477,0.5464385297917927,0.5191392669746265,0.3536905211951902,0.5819870528523585,0.4397408469773207,0.3775550770607713,0.43764115063637576,0.3318183232086279,0.3721915479790997,0.3953044995945618,0.42873193603538784,0.42307291195148833,0.44306543268599113,0.34193402242921517,0.4687652781668098,0.3435459195882661,0.4120346305747071,0.3481678866641604,0.5335659808739845,0.3842113768236521,0.5276782890163713,0.45124578625556155,0.2739616089585533,0.4459270284616218,0.12997421246807775,0.18155188897309266,0.20002707747477072,0.1565024007246627,0.30970157552743516,0.37288918705561325,0.3667872891324563,0.4117448454205612,0.19853469271947308,0.15115627128249814,0.4859841907803772,0.11590393254919754,0.5417569945194114,0.25723188763042093,0.29200095349369254,0.4249471907006006,0.23549233686454712,0.18438338763551174,0.4966609733439871,0.2310782052165869,0.48744891666536055,0.14425891613382216,0.33982150622976487,0.21654400223214837,0.2439168578786976,0.3376376873050147,0.27397454415243877,0.20622647781584547,0.24881331189483108,0.6196484087266408,0.30465497700261723,0.2191892039067154,0.4542551770797775,0.44258183912138177,0.3836505281255428,0.33578716398574304,0.41540871516361444,0.47738094375335444,0.2763453051873648,0.475886924320234,0.34155289241215686,0.27451601633034584,0.39728400652560547,0.20614657521924573,0.3400633953968413,0.4513781296814733,0.08156424902933795,0.2339767973039776,0.3775973635442484,0.38618043692527065,0.36616990175178765,0.1976415500338874,0.3402806755009119,0.4273732876935472,0.4342868395673768,0.24857823601884743,0.05212593023087488,0.11859824553482043,0.2125759314101252,0.06829333137501716,0.20248547948036713,0.052062328821542436,0.19261505940391369,0.1384918100195801,0.12228454318691527,0.025292403964987435,0.2126068566137736,0.2093296145720436
NWG.L,0.3417950556673201,0.42363967385816625,0.45761992214939406,1.0,0.6316980283818638,0.38834657654528026,0.480509381014428,0.1527052348256218,0.5937005594173037,0.4700172554301897,0.4490981434604306,0.13058526943524454,0.5592200522383896,0.5287361082716038,0.621495283364771,0.39570781710616537,0.5505350511072522,0.5600873258566911,0.4289266183199392,0.4983493820480568,0.49340870337898635,0.5383816147498274,0.4628874496566391,0.5167707152914114,0.6042167794241029,0.18030023031532028,0.720004449463633,0.40346351321159934,0.2993797111188866,0.5347074423601625,0.6111977132916873,0.546531690593688,0.44841006581535203,0.46452717047423975,0.3974648910226578,0.3917567100148894,0.273024290168851,0.490419165725045,0.5875348642470919,0.5347922134389743,0.35261625940739094,0.5109890724070689,0.29514116222160697,0.2517034545622943,0.48836428279771144,0.5328097063403343,0.2307448167153837,0.31141940856188505,0.7181637605639337,0.48267288249816936,0.5306957388799697,0.49413976310718566,0.44661356844852795,0.24642271367885368,0.5007056688883721,0.5100984290198309,0.3347104418282293,0.60975917108365,0.10589702841002616,0.09521483316959192,0.17422547717346695,0.09998131860224009,0.19163332446700743,0.3823312040512619,0.2896610322786219,0.2631638398052311,0.16202815921499092,0.11346857652063619,0.37665966696385234,0.10165395935990437,0.4051774811656188,0.18740896183065325,0.22311837833869055,0.3057058939879736,0.23907544548628346,0.11893548051914225,0.4698225687433751,0.16185439696350312,0.4661757151726007,0.10103720025774925,0.18959643888733024,0.1408500979021426,0.15296272542325315,0.21087708362483762,0.1923387294484335,0.1299098968552074,0.26111612965535197,0.4798649418862129,0.26012377445901674,0.13383309071794786,0.36752671574296697,0.3215580683777777,0.3393554228413357,0.17791578547842135,0.32186094728497777,0.44478561954120716,0.17212705936445283,0.3686778453142263,0.169026782894272,0.19150456378026656,0.2651877419160909,0.21795145489548656,0.2579822466277126,0.2948697239976862,0.053748691092708904,0.1748807478445171,0.3046532997164831,0.2846004578241237,0.3290270448850303,0.13069596612468534,0.312738862530889,0.306490495561662,0.3267976068431731,0.2053801317158371,0.0355322656642884,0.0828313937302161,0.1342998139553857,0.06644265402581316,0.17394167956437281,0.04383750663284143,0.15357129927278998,0.08894403924578886,0.0950196835627078,0.021654217226671463,0.1606691669262058,0.15187423319830357
GLE.PA,0.4109109769502602,0.49389181170169516,0.4604472816019433,0.6316980283818638,1.0,0.4615144864613396,0.5684735339040868,0.17168052821924704,0.7332563756490259,0.6061417656820377,0.5829162114477479,0.14302579412853336,0.5420546766693815,0.5546775876234578,0.8411102898930131,0.4721932347269148,0.7204988069064143,0.6489001910538786,0.5274777165455693,0.5143862626534639,0.5862776274911035,0.6813662626501361,0.5929041540003168,0.6441565903665437,0.7443311278623786,0.21844009491799124,0.6755126407070593,0.41414157319582523,0.3820786207068408,0.6998596052367242,0.8208736384475013,0.6462142512742737,0.527532857033207,0.595369063403846,0.38048057236770777,0.4496249339097512,0.3066860631452049,0.5336997377217934,0.7192427254562529,0.6830076610775528,0.3377755302749693,0.6396191180788661,0.28896094885615875,0.22683029030840188,0.5912908685754549,0.529298204111749,0.22559724033105222,0.28640747001754635,0.6132684306460405,0.5563330178725032,0.5559506731277423,0.626080264917502,0.44143826663638785,0.2229565018656583,0.6057445124892208,0.5977076201156396,0.4260712834118931,0.7522032068048151,0.08408390861356677,0.1156165331272258,0.14129461044030295,0.08822287363515054,0.1687370644736444,0.34263629768652354,0.2569386556006152,0.24747127498196736,0.1596692835069061,0.10004034550014666,0.38785869219357466,0.11074718404597668,0.41559200556382947,0.1987401454107667,0.21594877279639074,0.29961197163557485,0.2762761433525412,0.11007274049433002,0.4780529405550815,0.16159628754126168,0.48596280025299265,0.11123793161946113,0.2284090643549701,0.17634767085829745,0.16194101601929425,0.1804454388488421,0.19111734737040117,0.13589935786740295,0.24406594119070824,0.5093963744565431,0.23130401328334688,0.14556175961190979,0.3574063429680421,0.35780016869916786,0.3183989271538277,0.22065021412445648,0.33008391677459226,0.5633295175231608,0.14782950009595724,0.37803640659796595,0.20002992872962425,0.19565946653074665,0.22426685990574724,0.18562648250851524,0.29306148812166827,0.35471075051333506,0.06300760078092099,0.17062023529491105,0.33689338842402144,0.265775222124379,0.3145214377732801,0.13878231943290437,0.30135094490481373,0.2793592563554117,0.32770014383849233,0.1835448094225854,0.030267649149561704,0.10512193067746194,0.15555546241543036,0.07286861325510083,0.15215105494374143,0.07150554325742237,0.1483164573995613,0.09097961682411487,0.1270603649256155,0.012967304539679743,0.17134775930430327,0.12702937109115306
FBK.MI,0.29027607968070207,0.3828756674673909,0.39901745412386813,0.38834657654528026,0.4615144864613396,1.0,0.3965525218652686,0.2407525432667789,0.4644032943512579,0.4667935640231373,0.5436684893843491,0.20402074498845243,0.3840236888625937,0.36421684700401524,0.49564949906398703,0.3466683929664754,0.5326014922827293,0.440183786876598,0.3806377534097097,0.41778332878105845,0.41318984452595137,0.4301218098638883,0.44970134727298633,0.3932734529780524,0.4644297973981971,0.22582625666839443,0.4130741062039582,0.3643560901958735,0.26134802727430123,0.5081888196895736,0.46900115408204385,0.41018752842944334,0.3693560430918631,0.47475772852291165,0.34271709689911717,0.41520476615436647,0.2875095519404036,0.37244987477016633,0.4666762244327424,0.4234036552685946,0.24316032594586745,0.39475960610404576,0.2387900384128943,0.2559663357981608,0.3820163941170439,0.3326534640834283,0.22953600390497472,0.24292257982418453,0.3780543616958717,0.40258975309734,0.35770679256164006,0.40581793894995993,0.34795044489086197,0.2101496825223791,0.43382795954073655,0.4317085269144317,0.3362813238416781,0.4929346658850849,0.10048453852815482,0.1103476353357945,0.13945421215540799,0.07986298488131678,0.21204609888559364,0.30328586839081023,0.22834876081527278,0.21397943292865848,0.09924068711943149,0.06593680645767927,0.32849501905937095,0.07809261497489199,0.3459273345819678,0.19365978679849985,0.2132516254150968,0.21716083409399822,0.14150134004884118,0.09329158333765505,0.3417033995244862,0.1462212936466403,0.335746285195573,0.11191270226599857,0.21921996507569502,0.16981025071062394,0.2027949264802128,0.203177019600152,0.1951669650042682,0.13717715349722587,0.21575477651445676,0.40758614936798276,0.21238341089811016,0.1496583670575593,0.25957542789640853,0.2934186335150002,0.2558912802000272,0.2010336959228476,0.2429111991373154,0.5192175896541775,0.1584729846632606,0.316992932430026,0.21096715472249414,0.2014803929628185,0.221566963495733,0.12921833452054723,0.2455842426730625,0.34183941653059835,0.06996476860156704,0.1415955501335022,0.2894911414477395,0.2013539482722293,0.22334293636296856,0.11902712981274195,0.2336958912943796,0.2741418320385184,0.25376666800518716,0.1266718033817299,0.022837673901833583,0.06140754418150123,0.11431221253469355,0.05511495841832769,0.1043099727520537,0.03975199946770432,0.09697045100335365,0.0620241350008741,0.11583860522089341,0.039875610051432704,0.17141525366680863,0.11734916732169122
SEB-A.ST,0.27540866254227164,0.4487775624042271,0.4242543002170778,0.480509381014428,0.5684735339040868,0.3965525218652686,1.0,0.21721965590163278,0.5429518946491496,0.5021725039763424,0.4618590150911423,0.20589463708318342,0.47204626308919156,0.478563413473925,0.5804288534133855,0.4435394469930395,0.5262855427156704,0.5436958061283932,0.7803353641675639,0.49503846780530364,0.7512896251796775,0.5542121171000958,0.436649278904171,0.463971559661748,0.5727049632662645,0.30515532305056847,0.5138387083259908,0.39905369559737747,0.3612031557916435,0.4825958039972463,0.5880242270042498,0.518155215700045,0.7614908965430335,0.4311120756458862,0.37930988327293036,0.6008342073479334,0.2988519965348699,0.46644958393983593,0.542839364428168,0.4839431775963159,0.32593391959269036,0.47649422598053187,0.2751812539977862,0.2587546913958327,0.49521081702212844,0.4630109234157975,0.25657455397920875,0.2707158736980561,0.4643489969085071,0.4329852598318646,0.44116482865994494,0.4569364277691426,0.41369225199122706,0.23751850413579118,0.5389845684259268,0.7250961562283136,0.31283075812497135,0.5528129113700778,0.09630629261158637,0.10363802911747824,0.15329610460011694,0.10141992929173603,0.16047251376696067,0.26214794133537467,0.26531394511853595,0.24459001161818097,0.12226485912836148,0.08529814698242334,0.36231093050265323,0.08029031618291249,0.38009771219183014,0.2288592083686984,0.19420018996256985,0.2668713412015533,0.2329033482518787,0.11332457798270086,0.3985739135220609,0.14867518826882523,0.430701174627632,0.10337533799489283,0.3073991586498397,0.1876006621437124,0.18718309194956353,0.20695207654038417,0.19110983265260134,0.10805640232692601,0.18353187545510882,0.4595453834110863,0.22482436620802018,0.2034524393129503,0.34294225903519904,0.33767445168918325,0.30074008984816003,0.299573550723979,0.3126787577387738,0.471457588202467,0.14318969557755168,0.349023667176452,0.2886699151224238,0.1783827112602633,0.21334727671160875,0.15727437958688725,0.27989430763475914,0.4244442690929155,0.07467246247911835,0.1806360695160351,0.3886249716104509,0.25988014470901155,0.28569702269040503,0.17105266598556304,0.26719048666038736,0.24869089230096614,0.28813472488213937,0.182168148136763,0.030625699569176375,0.099855033996191,0.13860752295797166,0.09914886900020402,0.13249034027636916,0.040145464608409856,0.15168610627588644,0.08643837455799645,0.12202985965147202,0.032597478608087455,0.1529584240021622,0.10854924644362633
EQT.ST,0.1443171554490951,0.17603868633090128,0.283870304361761,0.1527052348256218,0.17168052821924704,0.2407525432667789,0.21721965590163278,1.0,0.17842090559706425,0.17392318816306832,0.2231174820968817,0.2640653638153541,0.2321251880170827,0.16975375586992156,0.18360780737874663,0.15983702258697965,0.19386550373678488,0.25309299541739466,0.19383150379989766,0.26391389925956354,0.17117270734739606,0.19391824171923752,0.12334064892862821,0.11844953514850666,0.18087082143104338,0.32976941140859745,0.18688371616719165,0.37886761392779666,0.15412511504783638,0.140335735477971,0.16851399344871126,0.18133363274085662,0.1537965832879673,0.1293977155695625,0.28960400190066604,0.3810002765723105,0.24358518863025816,0.2492047623295062,0.1826926497108926,0.12070043185486475,0.19419566858719878,0.11050104477865644,0.11530483539036118,0.17762616835320758,0.13759189048883522,0.12291734213944766,0.27150127853593614,0.2951630847946091,0.1605198021200795,0.15759078119118786,0.1363659410769446,0.1083882042705693,0.21731156467066867,0.2344290792557008,0.19925713550351376,0.21238617558003667,0.14968466992779506,0.1719303855717537,0.10130609745353869,0.18497080747629704,0.26681126453420634,0.1132406680843257,0.28435200420952905,0.20395054238818092,0.12124901387722935,0.23409476121550513,0.08212918942477936,0.14004206373239034,0.23170723428845094,0.12195048861370476,0.22561728899331274,0.25353588248321746,0.29703175399843496,0.19811045707498803,0.0721947098391836,0.18707292544469728,0.17939301471272914,0.2117352143717329,0.18802383513840581,0.16840622133357339,0.30953964872602524,0.3035063894852211,0.3241100687891038,0.2981221977550691,0.31925606098371767,0.2680448563618515,0.12522628893028734,0.27553618976591665,0.23622766207820428,0.28580624999210386,0.19539578134733293,0.26179582662472184,0.19520822740544963,0.2938265541121958,0.18187220700438844,0.25544303568655047,0.21032227817288995,0.2428495250599127,0.31288500058315055,0.3350276947600327,0.1791119061356053,0.09979464185962744,0.2153260810155059,0.36740541969470925,0.15801179583868066,0.1806148885285735,0.24490497688477547,0.20637081552330566,0.18829110686244904,0.27555307298442944,0.14849089038640864,0.26476177972354414,0.1937106877620467,0.15191961542286436,0.032394867089101095,0.1040116741404296,0.17363511463239373,0.08348837130645373,0.1171483700531554,0.05839996143007152,0.15408912477461215,0.1099575147984492,0.21691220187861632,0.05523508493404155,0.13345273511522462,0.11640641911899602
DBK.DE,0.3853019678303384,0.5022005513683157,0.44710102794042217,0.5937005594173037,0.7332563756490259,0.4644032943512579,0.5429518946491496,0.17842090559706425,1.0,0.5635924032601071,0.5385818650246991,0.13782206522045554,0.512496343881063,0.5135227030868538,0.7291993881271767,0.4631080872983671,0.6550945219948775,0.6809551239160951,0.4982433801979097,0.5083869034219177,0.5667176149269139,0.6159294458182695,0.5497646293158163,0.6071680087726835,0.6962215006099262,0.2050294242919887,0.6657555794420097,0.4111645218198441,0.3340152087666889,0.6385890128195558,0.7086939035493522,0.6285680708000614,0.5042222972484159,0.5651843082184297,0.39967048734896776,0.46380400232321217,0.2829348936096255,0.504520432366686,0.6653604727779788,0.7092929267672577,0.30952685071311453,0.5944104682678404,0.26091175270484546,0.2518772268164561,0.5510383488101319,0.5251333173562137,0.20876336126782918,0.2938170755985334,0.5632849428021137,0.5341659344114178,0.5517026353876627,0.5793800127384211,0.4217733818531866,0.20347860874275456,0.6041160657688018,0.5790851433658802,0.401885379337145,0.7042602357699155,0.09277366589163243,0.08802027260743889,0.1443831821029565,0.0929771352896281,0.16946772932433388,0.32162000196466134,0.250216597065811,0.2316553878977602,0.15571461932149736,0.09777069238639431,0.3873889208712877,0.11394483758016444,0.4086465971930621,0.17625194742899747,0.21977737556108867,0.26413327317000207,0.2329101064921671,0.09752646697979245,0.4429862647735745,0.1344851447005702,0.4663869781012538,0.12571705372173073,0.2259345489111616,0.15521771991283428,0.17510236597738366,0.1681071911621354,0.1884521825700261,0.1340787982745874,0.24045911469042874,0.4876524470724939,0.24558451871352843,0.14210588311346084,0.32657095940733055,0.33042359711717634,0.32108065037444017,0.2176496435142639,0.3140789352172111,0.5313426767018663,0.14098499452029964,0.3673752241982106,0.2033855481028494,0.18125191658633744,0.24004621012026955,0.18066790137289898,0.2695912152490207,0.3326479288154374,0.06719987781582586,0.15845890397298998,0.3267345145703051,0.24563353770570093,0.307195426267362,0.12468541514139156,0.30835295523669226,0.28596253473735367,0.30080435974776676,0.17339087804272485,0.049450216649246134,0.09267049632986248,0.13217316329358078,0.05602739656977318,0.14323797040055714,0.05272197446363704,0.12928990173891944,0.10294216223270175,0.11432799664138835,0.03491618464842394,0.1482429694925939,0.10667078123452317
G.MI,0.28578041818731736,0.48246282569955723,0.4651409613921876,0.4700172554301897,0.6061417656820377,0.4667935640231373,0.5021725039763424,0.17392318816306832,0.5635924032601071,1.0,0.6090136705743305,0.20324184250658253,0.5241235859550659,0.5575905415945457,0.624834692317009,0.5326216866915362,0.6904979107969333,0.5465769104752116,0.46870433442587855,0.4738835199799469,0.49917905812556046,0.6835260883113764,0.5731903888849156,0.494450458361855,0.5896573143459152,0.259753706873417,0.521185111640521,0.3958409085332026,0.35957747646166294,0.6379412863662086,0.6082857931689366,0.5850704372602366,0.4470481778300291,0.5576803123056236,0.4147754796393341,0.47902820787361816,0.301465304796774,0.4945330704644335,0.579235027366318,0.5043286026947242,0.32247824369633904,0.4944618979423321,0.3132314175337858,0.3100032535639407,0.5847132417081444,0.44127385500400257,0.2567346715399118,0.2926091243769492,0.46596092114386967,0.42305721095584214,0.43265111036570597,0.4914324811699611,0.4334179420181918,0.2354975055958133,0.6617630062551817,0.5104436933622537,0.395414058082941,0.602836640852296,0.1181201176896551,0.09498182052702166,0.121034081561872,0.09341981809614164,0.18347440430549755,0.2784652627462319,0.3135237300553831,0.26230751271269026,0.14936402898891968,0.0979375202769596,0.3662715046766733,0.09647088718968562,0.378921860650543,0.21732061040714845,0.19780517314189958,0.28779978626763786,0.25286449650767445,0.09304432808649159,0.3754090262752956,0.14898873930956638,0.40667686617345505,0.0886359764000351,0.2697050711371924,0.13235010708069508,0.14308477922061566,0.20698801606964434,0.1554958662686157,0.12549343399375548,0.1978926461273631,0.4787544106050421,0.22102976631546353,0.1489317668670893,0.3342849633860488,0.3236425775401012,0.3167828155265211,0.25922401379475696,0.30106471303906,0.575483965425637,0.1823910999657317,0.3500367622168316,0.24993681595539938,0.1513015030661987,0.2614066885546502,0.1430067544163201,0.30050926316904514,0.3394368089291546,0.05147440284601118,0.1470135320501287,0.3085417207625437,0.26652344954577545,0.2842087710180459,0.11720756537178216,0.28724125279344165,0.2632995364850682,0.31275207790401865,0.15404501980535507,0.04420437199603847,0.08318667832398964,0.13248705564597235,0.058882121146889774,0.156899835292882,0.05219825221874568,0.12663758210179582,0.05953562634016455,0.0969279334131954,0.018301377640979728,0.16751878421568023,0.1196129343198611
