,first_date,last_date,n_obs,pct_missing,consecutive_na_max
UNI.MC,2013-01-03,2025-10-27,3290,0.0,0
NN.AS,2013-01-03,2025-10-27,3290,0.0,0
STJ.L,2013-01-03,2025-10-27,3290,0.0,0
NWG.L,2013-01-03,2025-10-27,3290,0.0,0
GLE.PA,2013-01-03,2025-10-27,3290,0.0,0
FBK.MI,2013-01-03,2025-10-27,3290,0.0,0
SEB-A.ST,2013-01-03,2025-10-27,3290,0.0,0
EQT.ST,2013-01-03,2025-10-27,3290,0.0,0
DBK.DE,2013-01-03,2025-10-27,3290,0.0,0
G.MI,2013-01-03,2025-10-27,3290,0.0,0
BMED.MI,2013-01-03,2025-10-27,3290,0.0,0
VNA.DE,2013-01-03,2025-10-27,3290,0.0,0
LGEN.L,2013-01-03,2025-10-27,3290,0.0,0
AV.L,2013-01-03,2025-10-27,3290,0.0,0
BNP.PA,2013-01-03,2025-10-27,3290,0.0,0
SREN.SW,2013-01-03,2025-10-27,3290,0.0,0
ISP.MI,2013-01-03,2025-10-27,3290,0.0,0
UBSG.SW,2013-01-03,2025-10-27,3290,0.0,0
SWED-A.ST,2013-01-03,2025-10-27,3290,0.0,0
SDR.L,2013-01-03,2025-10-27,3290,0.0,0
NDA-SE.ST,2013-01-03,2025-10-27,3290,0.0,0
CS.PA,2013-01-03,2025-10-27,3290,0.0,0
BPE.MI,2013-01-03,2025-10-27,3290,0.0,0
SAB.MC,2013-01-03,2025-10-27,3290,0.0,0
INGA.AS,2013-01-03,2025-10-27,3290,0.0,0
BALD-B.ST,2013-01-03,2025-10-27,3290,0.0,0
BARC.L,2013-01-03,2025-10-27,3290,0.0,0
ICG.L,2013-01-03,2025-10-27,3290,0.0,0
LI.PA,2013-01-03,2025-10-27,3290,0.0,0
UCG.MI,2013-01-03,2025-10-27,3290,0.0,0
ACA.PA,2013-01-03,2025-10-27,3290,0.0,0
AGN.AS,2013-01-03,2025-10-27,3290,0.0,0
SHB-A.ST,2013-01-03,2025-10-27,3290,0.0,0
BAMI.MI,2013-01-03,2025-10-27,3290,0.0,0
III.L,2013-01-03,2025-10-27,3290,0.0,0
INVE-B.ST,2013-01-03,2025-10-27,3290,0.0,0
MRL.MC,2013-01-03,2025-10-27,3290,0.0,0
PRU.L,2013-01-03,2025-10-27,3290,0.0,0
BBVA.MC,2013-01-03,2025-10-27,3290,0.0,0
CBK.DE,2013-01-03,2025-10-27,3290,0.0,0
LAND.L,2013-01-03,2025-10-27,3290,0.0,0
