Date,Equity_LS,BOND,Const80_20,Const70_30,Const60_40,w_equity,Port
2013-02-28,0.00000000,0.00343847,0.00068769,0.00103154,0.00137539,,
2013-03-31,0.00000000,0.00616795,0.00123359,0.00185038,0.00246718,,
2013-04-30,0.00000000,0.02614485,0.00522897,0.00784345,0.01045794,,
2013-05-31,0.00000000,-0.01322447,-0.00264489,-0.00396734,-0.00528979,,
2013-06-30,0.00000000,-0.01552313,-0.00310463,-0.00465694,-0.00620925,,
2013-07-31,0.00000000,0.00867239,0.00173448,0.00260172,0.00346896,,
2013-08-31,0.00000000,-0.00578396,-0.00115679,-0.00173519,-0.00231358,,
2013-09-30,0.00000000,0.00812371,0.00162474,0.00243711,0.00324948,,
2013-10-31,0.00000000,0.01320506,0.00264101,0.00396152,0.00528202,,
2013-11-30,0.00000000,0.00302733,0.00060547,0.00090820,0.00121093,,
2013-12-31,0.00000000,-0.00751996,-0.00150399,-0.00225599,-0.00300798,,
2014-01-31,-0.00044868,0.02376167,0.00439339,0.00681442,0.00923546,,
2014-02-28,0.01729884,0.00599135,0.01503734,0.01390659,0.01277584,,
2014-03-31,-0.00454329,0.00910869,-0.00181289,-0.00044769,0.00091750,,
2014-04-30,-0.01030690,0.00977038,-0.00629144,-0.00428371,-0.00227599,,
2014-05-31,-0.00266011,0.00884080,-0.00035993,0.00079016,0.00194025,,
2014-06-30,-0.03030636,0.01124641,-0.02199581,-0.01784053,-0.01368525,,
2014-07-31,-0.02816783,0.00933988,-0.02066629,-0.01691552,-0.01316475,,
2014-08-31,-0.02266162,0.01764852,-0.01459959,-0.01056858,-0.00653756,,
2014-09-30,-0.01056631,0.00173422,-0.00810621,-0.00687615,-0.00564610,,
2014-10-31,-0.00805361,0.00341566,-0.00575975,-0.00461283,-0.00346590,,
2014-11-30,0.05521103,0.01249712,0.04666825,0.04239686,0.03812547,,
2014-12-31,0.02874800,0.01004003,0.02500641,0.02313561,0.02126481,,
2015-01-31,0.01116059,0.02361957,0.01365239,0.01489829,0.01614418,0.73250161,0.01449335
2015-02-28,-0.01962730,0.00663722,-0.01437440,-0.01174795,-0.00912149,0.65094094,-0.01045943
2015-03-31,-0.05507950,0.01194795,-0.04167401,-0.03497127,-0.02826852,0.61466519,-0.02925149
2015-04-30,-0.00027648,-0.01425570,-0.00307233,-0.00447025,-0.00586817,0.70750769,-0.00436530
2015-05-31,-0.03061774,-0.01530475,-0.02755515,-0.02602385,-0.02449255,0.64515051,-0.02518394
2015-06-30,-0.01588502,-0.02495837,-0.01769969,-0.01860702,-0.01951436,0.67548877,-0.01882942
2015-07-31,0.03672186,0.02236294,0.03385008,0.03241418,0.03097829,0.77105952,0.03343452
2015-08-31,0.03343092,-0.01111767,0.02452120,0.02006634,0.01561148,0.76333162,0.02288768
2015-09-30,0.00960680,0.01297928,0.01028130,0.01061854,0.01095579,0.72356999,0.01053905
2015-10-31,-0.01451546,0.01046699,-0.00951897,-0.00702072,-0.00452248,0.67579655,-0.00641606
2015-11-30,0.00364433,0.00392912,0.00370129,0.00372977,0.00375825,0.71243519,0.00372623
2015-12-31,0.04117160,-0.01058486,0.03082031,0.02564466,0.02046902,0.76712886,0.02911902
2016-01-31,0.01439615,0.01982291,0.01548150,0.01602418,0.01656685,0.72721477,0.01587649
2016-02-29,0.00041841,0.00943230,0.00222119,0.00312258,0.00402396,0.70233694,0.00310151
2016-03-31,0.04191656,0.00515236,0.03456372,0.03088730,0.02721088,0.76375613,0.03323124
2016-04-30,-0.12464886,-0.01129449,-0.10197799,-0.09064255,-0.07930711,0.60948517,-0.08038230
2016-05-31,0.09774425,0.00931457,0.08005832,0.07121535,0.06237238,0.78191013,0.07845863
2016-06-30,0.21815090,0.02359393,0.17923951,0.15978381,0.14032811,0.79051483,0.17739410
2016-07-31,-0.02599643,0.00722972,-0.01935120,-0.01602858,-0.01270597,0.67006316,-0.01503390
2016-08-31,-0.02923043,-0.00358888,-0.02410212,-0.02153796,-0.01897381,0.66791507,-0.02071526
2016-09-30,0.06950559,0.00245774,0.05609602,0.04939124,0.04268645,0.74252407,0.05224238
2016-10-31,-0.13394940,-0.02160037,-0.11147959,-0.10024469,-0.08900979,0.62167422,-0.09144487
2016-11-30,-0.02840028,-0.01512140,-0.02574450,-0.02441661,-0.02308873,0.67548203,-0.02409104
2016-12-31,-0.15256511,0.00715033,-0.12062202,-0.10465048,-0.08867893,0.62329001,-0.09239871
2017-01-31,-0.02347576,-0.02142950,-0.02306651,-0.02286188,-0.02265725,0.68672879,-0.02283472
2017-02-28,-0.03762706,0.01103839,-0.02789397,-0.02302742,-0.01816088,0.67806371,-0.02195988
2017-03-31,0.02770234,-0.00559097,0.02104368,0.01771434,0.01438501,0.71912166,0.01835097
2017-04-30,-0.01978920,0.00433857,-0.01496365,-0.01255087,-0.01013809,0.68789431,-0.01225879
2017-05-31,-0.00014807,0.00586265,0.00105408,0.00165515,0.00225622,0.70023324,0.00165375
2017-06-30,0.05317088,-0.00517116,0.04150247,0.03566826,0.02983406,0.73280958,0.03758244
2017-07-31,0.02984040,0.00176208,0.02422474,0.02141691,0.01860907,0.71842760,0.02193432
2017-08-31,-0.02075547,0.00875067,-0.01485424,-0.01190363,-0.00895301,0.68621924,-0.01149701
2017-09-30,0.05026710,-0.00536179,0.03914132,0.03357843,0.02801554,0.73142473,0.03532656
2017-10-31,-0.06478213,0.00964192,-0.04989732,-0.04245492,-0.03501251,0.66010902,-0.03948607
2017-11-30,0.00331827,0.00447106,0.00354882,0.00366410,0.00377938,0.70255890,0.00366115
2017-12-31,-0.10868853,-0.00881587,-0.08871400,-0.07872673,-0.06873947,0.64288688,-0.07302269
2018-01-31,0.07087337,-0.00427274,0.05584415,0.04832954,0.04081493,0.74394020,0.05163148
2018-02-28,-0.06879956,0.00363430,-0.05431279,-0.04706940,-0.03982601,0.66375030,-0.04444369
2018-03-31,-0.01467551,0.01470265,-0.00879988,-0.00586206,-0.00292425,0.69690549,-0.00577115
2018-04-30,0.00840946,-0.00378367,0.00597083,0.00475152,0.00353221,0.70818333,0.00485130
2018-05-31,0.01258947,-0.01316359,0.00743886,0.00486355,0.00228825,0.71367473,0.00521572
2018-06-30,0.03017559,0.00778482,0.02569743,0.02345836,0.02121928,0.73774839,0.02430357
2018-07-31,-0.05029845,-0.00425290,-0.04108934,-0.03648478,-0.03188023,0.67168165,-0.03518085
2018-08-31,0.08535050,-0.00461973,0.06735645,0.05835943,0.04936241,0.76594709,0.06429270
2018-09-30,-0.00089106,-0.00271463,-0.00125578,-0.00143813,-0.00162049,0.71165915,-0.00141687
2018-10-31,0.04165241,0.00035124,0.03339217,0.02926206,0.02513194,0.74219854,0.03100491
2018-11-30,-0.01631421,0.00579325,-0.01189272,-0.00968197,-0.00747123,0.69135502,-0.00949086
2018-12-31,0.04670399,0.01003623,0.03937044,0.03570366,0.03203689,0.74556893,0.03737458
2019-01-31,-0.01175509,0.01101656,-0.00720076,-0.00492359,-0.00264643,0.68521813,-0.00458698
2019-02-28,-0.07305672,-0.00611062,-0.05966750,-0.05297289,-0.04627828,0.63522482,-0.04863645
2019-03-31,0.09765845,0.01865943,0.08185864,0.07395874,0.06605884,0.77263301,0.07969668
