Date,Strategy,Benchmark
2015-01-31,0.01284252,0.05077837
2015-02-28,-0.01179737,0.06327886
2015-03-31,-0.03023446,0.03034252
2015-04-30,-0.00286242,-0.01706277
2015-05-31,-0.02587533,0.01710173
2015-06-30,-0.01814449,-0.03615677
2015-07-31,0.03589075,0.03029912
2015-08-31,0.03016387,-0.08084030
2015-09-30,0.01012232,-0.03490300
2015-10-31,-0.00830964,0.09500578
2015-11-30,0.00369421,0.03931848
2015-12-31,0.03776902,-0.04022702
2016-01-31,0.01518613,-0.06792797
2016-02-29,0.00217906,0.00239637
2016-03-31,0.03925161,0.01209395
2016-04-30,-0.08145749,0.00194525
2016-05-31,0.09454489,0.04077108
2016-06-30,0.21446009,-0.01105932
2016-07-31,-0.01736183,0.03920771
2016-08-31,-0.02245671,0.00285234
2016-09-30,0.06179832,0.00064645
2016-10-31,-0.09387994,0.00529711
2016-11-30,-0.02509336,0.05423469
2016-12-31,-0.09611848,0.02474703
2017-01-31,-0.02301219,-0.00582914
2017-02-28,-0.02575889,0.05013764
2017-03-31,0.02231692,0.00478576
2017-04-30,-0.01437948,-0.00691768
2017-05-31,0.00105127,-0.01084843
2017-06-30,0.04533082,-0.00992843
2017-07-31,0.02525957,-0.00792911
2017-08-31,-0.01404100,-0.00834508
2017-09-30,0.04263757,0.02927573
2017-10-31,-0.04395963,0.03558273
2017-11-30,0.00354292,-0.00344710
2017-12-31,-0.07730592,0.00825706
2018-01-31,0.06244802,0.01538291
2018-02-28,-0.04906137,-0.01874661
2018-03-31,-0.00861806,-0.03543266
2018-04-30,0.00617040,0.03811614
2018-05-31,0.00814319,0.03627284
2018-06-30,0.02738787,0.00203385
2018-07-31,-0.03848147,0.02446321
2018-08-31,0.07922300,0.01981232
2018-09-30,-0.00121326,0.00664615
2018-10-31,0.03687787,-0.04875567
2018-11-30,-0.01151048,0.00427124
2018-12-31,0.04271226,-0.07921323
2019-01-31,-0.00652754,0.07390302
2019-02-28,-0.05099461,0.03956990
2019-03-31,0.09333452,0.02472072
2019-04-30,-0.04566443,0.03653985
2019-05-31,0.14085427,-0.04771644
2019-06-30,0.07763456,0.03896101
2019-07-31,0.13251349,0.03641737
2019-08-31,0.03748992,-0.01690414
2019-09-30,-0.05549859,0.03284391
2019-10-31,-0.06182663,-0.00130938
2019-11-30,0.07470829,0.04401578
2019-12-31,0.00872656,0.00663794
2020-01-31,0.04479946,0.01033680
2020-02-29,-0.03241907,-0.08652318
2020-03-31,0.06817890,-0.10900841
2020-04-30,0.01849287,0.09482011
2020-05-31,0.04924124,0.02484413
2020-06-30,-0.02874220,0.01796408
2020-07-31,0.06469846,-0.00265653
2020-08-31,-0.01077900,0.05831428
2020-09-30,0.06479472,-0.01195507
2020-10-31,-0.03101865,-0.02629184
2020-11-30,-0.16456436,0.09464641
2020-12-31,-0.00336350,0.01724135
2021-01-31,0.02236773,0.00637693
2021-02-28,-0.08925639,0.03084873
2021-03-31,-0.00515798,0.06227756
2021-04-30,0.00693698,0.01994831
2021-05-31,0.05548522,-0.00350852
2021-06-30,-0.02114947,0.04741929
2021-07-31,-0.02523302,0.01995418
2021-08-31,0.01742185,0.02910030
2021-09-30,0.05291230,-0.01880618
2021-10-31,0.03388449,0.05201393
2021-11-30,-0.01097309,0.00765719
2021-12-31,-0.03633747,0.03478554
2022-01-31,0.00613697,-0.05045582
2022-02-28,-0.00008236,-0.01933468
2022-03-31,-0.02928845,0.04833776
2022-04-30,0.06271397,-0.02645916
2022-05-31,-0.02068285,-0.03423927
2022-06-30,0.06318368,-0.06325009
2022-07-31,-0.00228184,0.10220164
2022-08-31,0.11529905,-0.02050910
2022-09-30,0.07291798,-0.05469915
2022-10-31,0.03371503,0.04386715
2022-11-30,-0.01967346,0.00324856
2022-12-31,0.01024665,-0.05911117
2023-01-31,-0.01476167,0.05132895
2023-02-28,0.03978920,0.00647717
2023-03-31,0.05571135,0.00152239
2023-04-30,0.00764788,0.00262561
2023-05-31,-0.00692429,0.02473983
2023-06-30,0.12938895,0.03826498
2023-07-31,-0.08247921,0.02325278
2023-08-31,-0.04248455,-0.00576015
2023-09-30,0.03330029,-0.01585284
2023-10-31,0.01410197,-0.03383359
2023-11-30,-0.00635763,0.05751588
2023-12-31,-0.06121399,0.03672282
2024-01-31,0.10998900,0.03841452
2024-02-29,0.04413543,0.03722874
2024-03-31,0.04150411,0.03702653
2024-04-30,-0.01415054,-0.02044948
2024-05-31,-0.05793803,0.01222441
2024-06-30,-0.00396713,0.04985116
2024-07-31,-0.03838500,0.00210103
2024-08-31,-0.00762756,-0.00324979
2024-09-30,0.02237999,0.01351489
2024-10-31,0.02358162,0.01229705
2024-11-30,0.04815173,0.07462838
2024-12-31,0.01316216,-0.00639128
2025-01-31,-0.00500649,0.03859444
2025-02-28,0.12282747,-0.02528194
2025-03-31,-0.01929538,-0.07890369
2025-04-30,0.00834710,-0.03907334
2025-05-31,0.02793678,0.06369870
2025-06-30,-0.03431193,0.00876349
2025-07-31,0.10790054,0.04783066
2025-08-31,0.00493326,-0.00328776
2025-09-30,0.01173113,0.02514586
2025-10-31,-0.01065553,0.04257603
